Time (s),PT4w (ohms-Hex),PT4s (ohms-Hex)
0,8285,8274
5,8287,8276
10,8286,8275
15,8287,8276
20,8288,8276
25,8287,8276
30,8286,8276
35,8287,8276
40,8288,8275
45,8288,8276
50,8287,8275
55,8288,8277
60,8288,8275
65,8288,8276
70,8287,8277
75,8288,8276
80,8287,8276
86,8287,8275
91,8287,8275
96,8288,8276
101,8288,8276
106,8288,8276
111,8288,8275
116,8288,8277
121,8289,8276
126,8288,8276
131,8288,8276
136,8289,8275
141,8289,8276
146,8289,8277
151,8290,8276
156,8290,8276
161,8290,8276
166,8290,8276
171,8290,8276
176,8291,8276
182,8292,8276
187,8293,8276
192,8293,8276
197,8294,8276
202,8292,8277
207,8294,8276
212,8295,8275
217,8294,8276
222,8296,8276
227,8297,8275
232,8297,8276
237,8296,8276
242,8298,8276
247,8298,8276
252,8299,8277
257,8299,8275
262,8299,8277
267,8299,8275
273,8300,8276
278,8301,8276
283,8302,8276
288,8302,8276
293,8301,8276
298,8303,8276
303,8303,8276
308,8303,8276
313,8303,8275
318,8305,8276
323,8306,8275
328,8306,8276
333,8307,8277
338,8307,8276
343,8307,8276
348,8307,8277
353,8307,8276
358,8308,8276
364,8308,8276
369,8309,8276
374,8310,8277
379,8309,8276
384,8310,8275
389,8311,8276
394,8311,8275
399,8311,8275
404,8312,8276
409,8312,8276
414,8312,8276
419,8313,8276
424,8313,8275
429,8313,8275
434,8313,8275
439,8314,8276
444,8315,8275
449,8315,8276
455,8315,8275
460,8315,8276
465,8316,8275
470,8316,8276
475,8316,8276
480,8316,8276
485,8317,8277
490,8318,8276
495,8318,8277
500,8317,8277
505,8319,8276
510,8319,8276
515,8319,8276
520,8318,8275
525,8319,8276
530,8321,8276
535,8319,8277
541,8320,8276
546,8321,8275
551,8321,8276
556,8322,8276
561,8322,8276
566,8322,8276
571,8322,8276
576,8323,8276
581,8323,8276
586,8324,8276
591,8323,8276
596,8324,8276
601,8324,8276
606,8325,8277
611,8323,8276
616,8325,8276
621,8325,8276
626,8325,8276
632,8326,8275
637,8326,8277
642,8327,8276
647,8327,8276
652,8327,8276
657,8328,8276
662,8328,8276
667,8328,8277
672,8328,8275
677,8328,8276
682,8328,8276
687,8329,8275
692,8328,8276
697,8330,8276
702,8329,8275
707,8330,8275
712,8330,8278
717,8330,8276
723,8330,8275
728,8331,8277
733,8331,8276
738,8331,8277
743,8331,8275
748,8332,8277
753,8332,8276
758,8332,8278
763,8332,8276
768,8333,8275
773,8332,8277
778,8333,8275
783,8333,8277
788,8334,8276
793,8334,8276
798,8334,8276
803,8334,8276
808,8335,8275
814,8335,8276
819,8335,8276
824,8335,8275
829,8335,8277
834,8336,8276
839,8336,8275
844,8336,8277
849,8336,8276
854,8336,8276
859,8336,8276
864,8337,8277
869,8336,8275
874,8336,8277
879,8337,8276
884,8337,8275
889,8337,8276
894,8337,8276
899,8338,8276
905,8339,8276
910,8339,8276
915,8338,8276
920,8339,8275
925,8339,8275
930,8339,8276
935,8338,8275
940,8339,8276
945,8339,8275
950,8340,8276
955,8339,8276
960,8340,8276
965,8340,8276
970,8340,8276
975,8341,8276
980,8341,8277
985,8341,8276
990,8343,8276
996,8342,8276
1001,8341,8276
1006,8342,8276
1011,8341,8277
1016,8343,8276
1021,8342,8277
1026,8343,8276
1031,8342,8276
1036,8343,8277
1041,8343,8276
1046,8342,8276
1051,8342,8276
1056,8344,8276
1061,8344,8277
1066,8344,8276
1071,8344,8277
1076,8345,8276
1081,8344,8277
1087,8345,8276
1092,8344,8276
1097,8345,8276
1102,8345,8276
1107,8345,8276
1112,8345,8276
1117,8346,8276
1122,8345,8276
1127,8345,8275
1132,8347,8276
1137,8345,8277
1142,8346,8276
1147,8346,8276
1152,8347,8276
1157,8347,8276
1162,8346,8277
1167,8347,8277
1173,8347,8277
1178,8348,8276
1183,8348,8276
1188,8348,8277
1193,8348,8277
1198,8348,8277
1203,8348,8276
1208,8348,8276
1213,8349,8276
1218,8348,8276
1223,8349,8276
1228,8349,8277
1233,8350,8277
1238,8350,8276
1243,8349,8277
1248,8349,8276
1253,8349,8277
1259,8349,8276
1264,8350,8276
1269,8350,8276
1274,8349,8277
1279,8350,8277
1284,8350,8278
1289,8350,8276
1294,8351,8276
1299,8351,8277
1304,8351,8276
1309,8350,8277
1314,8351,8276
1319,8352,8276
1324,8351,8277
1329,8351,8277
1334,8353,8277
1339,8351,8276
1344,8352,8276
1350,8352,8276
1355,8352,8276
1360,8352,8276
1365,8352,8277
1370,8352,8276
1375,8352,8276
1380,8353,8276
1385,8353,8277
1390,8353,8277
1395,8353,8277
1400,8353,8277
1405,8353,8276
1410,8353,8276
1415,8353,8277
1420,8355,8277
1425,8354,8277
1430,8354,8276
1435,8354,8277
1441,8354,8277
1446,8354,8275
1451,8355,8276
1456,8354,8277
1461,8355,8276
1466,8355,8276
1471,8355,8277
1476,8355,8278
1481,8355,8277
1486,8355,8277
1491,8356,8277
1496,8355,8276
1501,8355,8277
1506,8356,8276
1511,8356,8276
1516,8356,8276
1521,8357,8277
1526,8357,8277
1532,8356,8277
1537,8355,8276
1542,8356,8276
1547,8357,8276
1552,8356,8278
1557,8357,8277
1562,8356,8277
1567,8357,8276
1572,8357,8277
1577,8357,8277
1582,8358,8278
1587,8358,8278
1592,8358,8276
1597,8357,8277
1602,8357,8277
1607,8357,8277
1612,8358,8277
1617,8358,8277
1623,8357,8275
1628,8358,8277
1633,8358,8278
1638,8358,8277
1643,8358,8277
1648,8357,8277
1653,8357,8278
1658,8359,8275
1663,8358,8277
1668,8359,8278
1673,8359,8276
1678,8359,8278
1683,8360,8277
1688,8359,8278
1693,8358,8278
1698,8360,8278
1703,8359,8278
1708,8360,8279
1714,8359,8277
1719,8360,8278
1724,8360,8278
1729,8360,8278
1734,8360,8276
1739,8360,8277
1744,8360,8277
1749,8361,8278
1754,8360,8278
1759,8362,8277
1764,8362,8278
1769,8361,8278
1774,8361,8277
1779,8361,8277
1784,8362,8277
1789,8361,8278
1794,8362,8278
1800,8360,8278
1805,8362,8277
1810,8361,8277
1815,8362,8277
1820,8362,8277
1825,8362,8278
1830,8362,8278
1835,8362,8278
1840,8362,8277
1845,8362,8277
1850,8362,8277
1855,8363,8278
1860,8362,8278
1865,8362,8277
1870,8363,8278
1875,8363,8278
1880,8363,8278
1885,8363,8278
1891,8362,8278
1896,8363,8278
1901,8363,8279
1906,8363,8280
1911,8363,8278
1916,8363,8278
1921,8363,8279
1926,8364,8278
1931,8364,8278
1936,8364,8279
1941,8364,8279
1946,8364,8278
1951,8364,8279
1956,8365,8278
1961,8363,8279
1966,8364,8277
1971,8363,8279
1976,8365,8279
1982,8365,8279
1987,8364,8279
1992,8364,8279
1997,8364,8278
2002,8365,8278
2007,8365,8279
2012,8365,8279
2017,8365,8279
2022,8365,8279
2027,8365,8279
2032,8364,8278
2037,8365,8279
2042,8365,8279
2047,8365,8279
2052,8366,8280
2057,8365,8279
2062,8365,8279
2067,8367,8279
2073,8366,8279
2078,8366,8279
2083,8365,8279
2088,8366,8279
2093,8366,8278
2098,8366,8278
2103,8365,8280
2108,8366,8279
2113,8366,8279
2118,8366,8278
2123,8366,8280
2128,8366,8279
2133,8366,8280
2138,8366,8279
2143,8366,8278
2148,8367,8278
2153,8366,8279
2158,8367,8279
2164,8367,8279
2169,8367,8280
2174,8367,8278
2179,8367,8279
2184,8367,8279
2189,8366,8280
2194,8367,8280
2199,8367,8279
2204,8367,8280
2209,8367,8279
2214,8367,8280
2219,8367,8280
2224,8367,8280
2229,8367,8280
2234,8368,8280
2239,8368,8280
2244,8367,8279
2249,8367,8279
2255,8368,8280
2260,8368,8280
2265,8368,8279
2270,8367,8279
2275,8367,8281
2280,8369,8279
2285,8367,8279
2290,8368,8280
2295,8369,8279
2300,8367,8279
2305,8368,8279
2310,8369,8280
2315,8368,8280
2320,8368,8279
2325,8368,8281
2330,8369,8280
2335,8368,8281
2341,8369,8280
2346,8369,8280
2351,8368,8279
2356,8368,8281
2361,8369,8280
2366,8369,8281
2371,8369,8281
2376,8369,8280
2381,8368,8280
2386,8370,8280
2391,8369,8280
2396,8369,8281
2401,8369,8281
2406,8369,8280
2411,8370,8281
2416,8370,8281
2422,8369,8281
2427,8370,8282
2432,8368,8280
2437,8370,8281
2442,8369,8281
2447,8369,8280
2452,8369,8281
2457,8369,8281
2462,8369,8280
2467,8369,8282
2472,8370,8281
2477,8370,8281
2482,8371,8281
2487,8371,8281
2492,8369,8282
2497,8370,8281
2502,8371,8281
2507,8370,8282
2513,8371,8282
2518,8370,8281
2523,8371,8281
2528,8370,8281
2533,8371,8282
2538,8371,8281
2543,8371,8281
2548,8370,8281
2553,8371,8282
2558,8371,8282
2563,8371,8281
2568,8371,8282
2573,8370,8282
2578,8371,8281
2583,8370,8281
2588,8372,8283
2593,8370,8281
2598,8370,8282
2604,8371,8282
2609,8372,8282
2614,8371,8282
2619,8372,8282
2624,8371,8282
2629,8371,8283
2634,8372,8283
2639,8372,8280
2644,8371,8283
2649,8372,8282
2654,8370,8281
2659,8372,8283
2664,8372,8284
2669,8372,8282
2674,8371,8282
2679,8373,8283
2684,8371,8283
2690,8371,8283
2695,8371,8283
2700,8371,8283
2705,8371,8282
2710,8372,8283
2715,8372,8283
2720,8372,8283
2725,8371,8282
2730,8371,8282
2735,8372,8283
2740,8372,8283
2745,8372,8284
2750,8372,8284
2755,8372,8283
2760,8372,8283
2765,8372,8283
2770,8372,8283
2775,8372,8283
2781,8373,8282
2786,8372,8283
2791,8372,8283
2796,8372,8284
2801,8373,8283
2806,8373,8282
2811,8373,8283
2816,8372,8284
2821,8373,8284
2826,8372,8283
2831,8372,8283
2836,8373,8284
2841,8372,8283
2846,8372,8283
2851,8373,8283
2856,8373,8283
2861,8373,8283
2866,8373,8284
2872,8373,8283
2877,8373,8284
2882,8373,8285
2887,8373,8285
2892,8374,8285
2897,8374,8284
2902,8373,8284
2907,8373,8284
2912,8374,8286
2917,8374,8283
2922,8373,8283
2927,8373,8283
2932,8374,8284
2937,8373,8284
2942,8374,8284
2947,8375,8283
2952,8373,8284
2957,8373,8284
2963,8374,8286
2968,8373,8284
2973,8374,8285
2978,8374,8284
2983,8375,8284
2988,8373,8284
2993,8374,8285
2998,8374,8284
3003,8375,8285
3008,8374,8284
3013,8374,8285
3018,8374,8285
3023,8374,8284
3028,8374,8284
3033,8375,8285
3038,8374,8285
3043,8374,8285
3048,8375,8285
3054,8373,8285
3059,8374,8285
3064,8374,8285
3069,8374,8285
3074,8374,8285
3079,8375,8284
3084,8374,8286
3089,8374,8285
3094,8374,8284
3099,8375,8285
3104,8375,8284
3109,8375,8285
3114,8375,8285
3119,8374,8285
3124,8374,8286
3129,8374,8286
3134,8375,8285
3140,8375,8285
3145,8374,8286
3150,8375,8286
3155,8375,8286
3160,8375,8285
3165,8375,8287
3170,8375,8286
3175,8374,8286
3180,8374,8285
3185,8375,8286
3190,8374,8286
3195,8375,8286
3200,8375,8286
3205,8374,8284
3210,8375,8287
3215,8374,8286
3220,8375,8286
3225,8375,8285
3231,8375,8286
3236,8374,8286
3241,8374,8286
3246,8375,8286
3251,8375,8286
3256,8375,8287
3261,8375,8287
3266,8375,8287
3271,8375,8286
3276,8375,8286
3281,8376,8286
3286,8376,8288
3291,8375,8287
3296,8376,8286
3301,8376,8286
3306,8375,8286
3311,8375,8286
3316,8376,8287
3322,8375,8286
3327,8376,8287
3332,8376,8286
3337,8376,8288
3342,8376,8286
3347,8376,8287
3352,8376,8287
3357,8375,8287
3362,8376,8287
3367,8375,8288
3372,8377,8287
3377,8376,8288
3382,8376,8289
3387,8376,8288
3392,8376,8288
3397,8377,8287
3402,8375,8287
3407,8376,8287
3413,8376,8288
3418,8376,8288
3423,8377,8287
3428,8376,8289
3433,8377,8288
3438,8376,8288
3443,8377,8288
3448,8376,8287
3453,8377,8288
3458,8376,8287
3463,8376,8288
3468,8376,8287
3473,8376,8288
3478,8377,8288
3483,8377,8289
3488,8376,8288
3493,8377,8287
3498,8377,8287
3504,8377,8288
3509,8377,8288
3514,8377,8288
3519,8377,8288
3524,8377,8289
3529,8377,8288
3534,8377,8289
3539,8377,8289
3544,8376,8289
3549,8377,8289
3554,8377,8289
3559,8377,8287
3564,8377,8289
3569,8377,8289
3574,8377,8289
3579,8376,8289
3584,8377,8289
3590,8377,8288
3595,8376,8288
3600,8376,8291
3605,8378,8289
3610,8377,8288
3615,8377,8289
3620,8377,8290
3625,8377,8289
3630,8377,8290
3635,8376,8290
3640,8377,8290
3645,8377,8290
3650,8377,8290
3655,8378,8289
3660,8377,8289
3665,8378,8289
3670,8377,8289
3676,8377,8290
3681,8377,8289
3686,8377,8290
3691,8378,8290
3696,8378,8291
3701,8377,8290
3706,8379,8289
3711,8378,8290
3716,8377,8291
3721,8377,8289
3726,8377,8291
3731,8377,8290
3736,8376,8290
3741,8377,8290
3746,8377,8291
3751,8378,8290
3756,8378,8291
3761,8378,8291
3767,8377,8290
3772,8377,8291
3777,8377,8291
3782,8378,8291
3787,8378,8291
3792,8377,8291
3797,8378,8291
3802,8378,8291
3807,8378,8291
3812,8378,8291
3817,8378,8289
3822,8377,8291
3827,8378,8291
3832,8378,8290
3837,8378,8291
3842,8378,8291
3847,8377,8291
3852,8377,8292
3858,8379,8291
3863,8379,8291
3868,8378,8292
3873,8379,8290
3878,8378,8292
3883,8378,8291
3888,8379,8291
3893,8377,8291
3898,8379,8292
3903,8378,8291
3908,8377,8291
3913,8378,8291
3918,8378,8291
3923,8377,8292
3928,8378,8294
3933,8379,8292
3938,8378,8292
3943,8379,8291
3949,8379,8293
