Time (s),PT1w_cal (deg.C),PT1s_cal (deg.C)
0,22.017,21.979
6,22.084,22.013
11,22.05,22.013
16,22.05,22.013
21,22.05,22.013
26,22.084,21.979
31,22.05,22.013
36,22.05,21.979
41,22.084,22.013
46,22.084,22.013
51,22.084,22.013
56,22.084,21.979
61,22.05,22.013
66,22.084,22.013
71,22.05,22.013
76,22.084,22.013
81,22.05,22.013
86,22.084,21.979
91,22.05,21.979
96,22.084,22.013
101,22.05,22.013
107,22.05,22.013
112,22.05,22.013
117,22.084,22.013
122,22.084,22.013
127,22.05,22.013
132,22.084,21.979
137,22.05,21.979
142,22.084,21.979
147,22.05,21.979
152,22.084,22.013
157,22.084,22.013
162,22.084,21.979
167,22.05,21.979
172,22.084,22.013
177,22.084,22.046
182,22.118,22.013
187,22.118,22.013
192,22.118,21.979
197,22.118,21.979
202,22.118,22.013
208,22.152,22.013
213,22.152,21.979
218,22.152,22.046
223,22.152,22.013
228,22.152,21.979
233,22.185,22.013
238,22.185,22.013
243,22.219,21.979
248,22.219,21.979
253,22.219,22.013
258,22.219,22.013
263,22.253,22.013
268,22.253,22.013
273,22.287,22.013
278,22.287,22.013
283,22.287,22.013
288,22.287,21.979
293,22.287,21.979
298,22.32,22.013
303,22.32,22.013
309,22.388,22.013
314,22.354,22.013
319,22.354,22.013
324,22.388,22.013
329,22.388,22.013
334,22.388,22.013
339,22.422,21.979
344,22.388,22.013
349,22.422,22.013
354,22.422,22.013
359,22.455,22.013
364,22.455,22.013
369,22.455,22.013
374,22.455,22.046
379,22.489,22.013
384,22.523,22.046
389,22.523,22.013
394,22.523,22.046
399,22.557,22.013
405,22.557,22.013
410,22.557,22.046
415,22.557,22.013
420,22.59,22.046
425,22.59,22.013
430,22.59,22.046
435,22.624,22.046
440,22.624,22.046
445,22.624,22.046
450,22.624,22.046
455,22.658,22.046
460,22.658,22.046
465,22.658,22.046
470,22.658,22.046
475,22.692,22.046
480,22.692,22.046
485,22.692,22.08
490,22.759,22.08
496,22.725,22.046
501,22.725,22.08
506,22.759,22.046
511,22.759,22.046
516,22.793,22.08
521,22.793,22.08
526,22.759,22.08
531,22.759,22.114
536,22.759,22.08
541,22.827,22.08
546,22.86,22.08
551,22.86,22.08
556,22.86,22.114
561,22.86,22.08
566,22.86,22.08
571,22.86,22.08
576,22.86,22.114
581,22.894,22.114
586,22.894,22.08
592,22.894,22.114
597,22.894,22.08
602,22.928,22.114
607,22.928,22.147
612,22.928,22.114
617,22.962,22.114
622,22.962,22.114
627,22.962,22.114
632,22.962,22.147
637,22.962,22.147
642,22.996,22.147
647,22.996,22.114
652,22.996,22.147
657,22.996,22.147
662,23.029,22.147
667,23.029,22.147
672,23.063,22.181
677,23.029,22.147
682,23.029,22.181
687,23.097,22.181
693,23.063,22.181
698,23.063,22.181
703,23.063,22.181
708,23.097,22.215
713,23.097,22.181
718,23.097,22.215
723,23.131,22.215
728,23.131,22.215
733,23.131,22.215
738,23.131,22.215
743,23.131,22.215
748,23.131,22.215
753,23.164,22.215
758,23.164,22.215
763,23.164,22.215
768,23.164,22.249
773,23.164,22.249
778,23.198,22.249
783,23.198,22.249
789,23.198,22.282
794,23.198,22.249
799,23.198,22.249
804,23.232,22.249
809,23.232,22.282
814,23.232,22.282
819,23.232,22.282
824,23.266,22.316
829,23.266,22.282
834,23.266,22.282
839,23.266,22.282
844,23.266,22.282
849,23.299,22.316
854,23.299,22.316
859,23.299,22.35
864,23.299,22.316
869,23.333,22.282
874,23.333,22.316
879,23.333,22.316
885,23.333,22.316
890,23.333,22.35
895,23.333,22.35
900,23.367,22.35
905,23.367,22.35
910,23.367,22.35
915,23.367,22.35
920,23.401,22.35
925,23.367,22.383
930,23.401,22.35
935,23.401,22.383
940,23.401,22.35
945,23.401,22.383
950,23.401,22.35
955,23.401,22.383
960,23.401,22.383
965,23.434,22.417
970,23.434,22.383
975,23.434,22.383
981,23.434,22.417
986,23.468,22.383
991,23.468,22.417
996,23.468,22.417
1001,23.468,22.417
1006,23.468,22.451
1011,23.468,22.451
1016,23.502,22.451
1021,23.468,22.417
1026,23.502,22.451
1031,23.502,22.451
1036,23.536,22.451
1041,23.502,22.485
1046,23.536,22.451
1051,23.502,22.518
1056,23.536,22.485
1061,23.569,22.485
1066,23.536,22.485
1071,23.569,22.485
1077,23.536,22.518
1082,23.569,22.518
1087,23.569,22.518
1092,23.536,22.518
1097,23.569,22.518
1102,23.603,22.518
1107,23.603,22.518
1112,23.569,22.518
1117,23.603,22.552
1122,23.603,22.552
1127,23.603,22.552
1132,23.637,22.552
1137,23.637,22.586
1142,23.637,22.552
1147,23.671,22.552
1152,23.637,22.586
1157,23.671,22.586
1162,23.671,22.586
1167,23.637,22.586
1172,23.671,22.586
1178,23.705,22.586
1183,23.671,22.586
1188,23.671,22.586
1193,23.705,22.586
1198,23.671,22.619
1203,23.705,22.619
1208,23.705,22.619
1213,23.705,22.619
1218,23.705,22.653
1223,23.705,22.619
1228,23.705,22.653
1233,23.705,22.653
1238,23.738,22.653
1243,23.738,22.653
1248,23.738,22.653
1253,23.772,22.687
1258,23.738,22.687
1263,23.738,22.687
1268,23.738,22.687
1274,23.772,22.687
1279,23.772,22.721
1284,23.772,22.687
1289,23.772,22.721
1294,23.772,22.687
1299,23.772,22.754
1304,23.772,22.721
1309,23.772,22.721
1314,23.806,22.721
1319,23.806,22.721
1324,23.806,22.754
1329,23.84,22.721
1334,23.84,22.754
1339,23.84,22.754
1344,23.84,22.754
1349,23.84,22.788
1354,23.84,22.754
1359,23.84,22.788
1364,23.873,22.754
1370,23.84,22.788
1375,23.873,22.788
1380,23.873,22.788
1385,23.873,22.788
1390,23.873,22.822
1395,23.907,22.822
1400,23.873,22.788
1405,23.873,22.822
1410,23.907,22.822
1415,23.907,22.822
1420,23.907,22.822
1425,23.907,22.822
1430,23.907,22.822
1435,23.941,22.822
1440,23.907,22.855
1445,23.941,22.855
1450,23.907,22.822
1455,23.941,22.855
1460,23.941,22.855
1466,23.941,22.889
1471,23.941,22.889
1476,23.941,22.855
1481,23.975,22.889
1486,23.941,22.889
1491,23.975,22.889
1496,23.941,22.923
1501,23.975,22.889
1506,23.975,22.889
1511,23.975,22.889
1516,23.975,22.889
1521,23.975,22.923
1526,23.975,22.923
1531,24.008,22.923
1536,24.042,22.957
1541,24.008,22.923
1546,24.008,22.957
1551,24.008,22.957
1556,24.008,22.957
1562,24.008,22.957
1567,24.008,22.957
1572,24.008,22.957
1577,24.042,22.957
1582,24.042,22.99
1587,24.042,22.99
1592,24.042,22.99
1597,24.076,22.99
1602,24.042,23.024
1607,24.042,22.99
1612,24.076,22.99
1617,24.042,23.024
1622,24.076,22.99
1627,24.11,23.024
1632,24.076,23.024
1637,24.11,23.024
1642,24.076,23.024
1647,24.076,23.024
1652,24.076,23.058
1658,24.11,23.058
1663,24.11,23.058
1668,24.076,23.058
1673,24.11,23.058
1678,24.11,23.091
1683,24.143,23.058
1688,24.11,23.058
1693,24.143,23.091
1698,24.11,23.091
1703,24.143,23.091
1708,24.143,23.091
1713,24.143,23.091
1718,24.11,23.091
1723,24.177,23.125
1728,24.143,23.125
1733,24.177,23.125
1738,24.177,23.125
1743,24.177,23.125
1749,24.177,23.159
1754,24.177,23.159
1759,24.177,23.125
1764,24.211,23.159
1769,24.211,23.159
1774,24.177,23.159
1779,24.211,23.159
1784,24.177,23.159
1789,24.211,23.159
1794,24.211,23.159
1799,24.211,23.159
1804,24.211,23.193
1809,24.211,23.193
1814,24.211,23.193
1819,24.211,23.193
1824,24.245,23.193
1829,24.245,23.226
1834,24.245,23.226
1839,24.211,23.226
1844,24.245,23.226
1850,24.245,23.26
1855,24.211,23.226
1860,24.245,23.26
1865,24.279,23.26
1870,24.245,23.26
1875,24.245,23.26
1880,24.245,23.26
1885,24.279,23.26
1890,24.279,23.26
1895,24.312,23.26
1900,24.279,23.26
1905,24.279,23.294
1910,24.279,23.294
1915,24.279,23.328
1920,24.312,23.294
1925,24.312,23.294
1930,24.312,23.328
1935,24.312,23.328
1940,24.312,23.294
1946,24.312,23.328
1951,24.312,23.328
1956,24.312,23.328
1961,24.346,23.328
1966,24.312,23.328
1971,24.346,23.328
1976,24.346,23.328
1981,24.346,23.361
1986,24.346,23.361
1991,24.312,23.361
1996,24.346,23.361
2001,24.346,23.361
2006,24.346,23.395
2011,24.346,23.361
2016,24.38,23.395
2021,24.38,23.395
2026,24.38,23.395
2031,24.38,23.395
2036,24.38,23.395
2042,24.38,23.395
2047,24.414,23.395
2052,24.38,23.395
2057,24.38,23.395
2062,24.414,23.429
2067,24.414,23.429
2072,24.414,23.429
2077,24.38,23.462
2082,24.414,23.429
2087,24.414,23.429
2092,24.414,23.429
2097,24.414,23.462
2102,24.414,23.429
2107,24.447,23.462
2112,24.414,23.462
2117,24.414,23.462
2122,24.414,23.496
2127,24.414,23.462
2132,24.447,23.496
2138,24.447,23.462
2143,24.447,23.496
2148,24.447,23.496
2153,24.447,23.496
2158,24.447,23.496
2163,24.447,23.53
2168,24.447,23.53
2173,24.447,23.53
2178,24.481,23.53
2183,24.447,23.496
2188,24.481,23.564
2193,24.481,23.53
2198,24.481,23.564
2203,24.481,23.53
2208,24.481,23.53
2213,24.481,23.564
2218,24.481,23.564
2223,24.481,23.564
2228,24.481,23.564
2234,24.515,23.564
2239,24.515,23.564
2244,24.481,23.564
2249,24.481,23.564
2254,24.481,23.597
2259,24.515,23.597
2264,24.515,23.597
2269,24.515,23.597
2274,24.549,23.597
2279,24.549,23.631
2284,24.549,23.597
2289,24.549,23.597
2294,24.549,23.631
2299,24.515,23.631
2304,24.515,23.631
2309,24.549,23.631
2314,24.549,23.631
2319,24.549,23.631
2324,24.549,23.631
2330,24.549,23.665
2335,24.549,23.665
