Time (s),PT2w_cal (deg.C),PT2s_cal (deg.C)
0,21.993,21.957
5,21.993,21.957
10,21.993,21.923
15,21.993,21.957
20,22.026,21.957
25,21.993,21.957
30,21.993,21.957
35,21.993,21.957
40,21.993,21.957
45,21.993,21.957
50,21.993,21.957
55,21.993,21.957
60,22.026,21.957
65,21.959,21.957
70,21.993,21.957
76,21.993,21.957
81,21.993,21.923
86,21.993,21.957
91,21.993,21.957
96,21.993,21.923
101,21.993,21.923
106,21.993,21.957
111,21.993,21.923
116,21.993,21.923
121,21.993,21.957
126,22.026,21.957
131,21.993,21.957
136,22.026,21.957
141,22.026,21.923
146,21.993,21.923
151,21.993,21.923
156,22.026,21.923
161,21.993,21.923
167,22.06,21.991
172,22.026,21.991
177,22.026,21.923
182,22.026,21.957
187,22.06,21.923
192,22.06,21.923
197,22.06,21.957
202,22.094,21.957
207,22.094,21.957
212,22.161,21.957
217,22.094,21.923
222,22.128,21.957
227,22.128,21.991
232,22.161,21.957
237,22.161,21.923
242,22.195,21.957
247,22.195,21.957
253,22.195,21.923
258,22.229,21.923
263,22.229,21.957
268,22.229,21.991
273,22.229,21.923
278,22.229,21.957
283,22.263,21.923
288,22.263,21.957
293,22.297,21.923
298,22.263,21.889
303,22.33,21.957
308,22.297,21.957
313,22.33,21.957
318,22.33,21.957
323,22.33,21.991
328,22.33,21.991
333,22.364,21.923
339,22.364,21.957
344,22.398,21.957
349,22.398,21.957
354,22.432,21.957
359,22.432,21.991
364,22.398,21.957
369,22.465,21.957
374,22.465,21.923
379,22.465,21.957
384,22.499,21.923
389,22.499,21.957
394,22.499,21.957
399,22.533,21.991
404,22.533,21.957
409,22.533,21.991
414,22.533,21.957
419,22.533,21.923
424,22.533,21.957
430,22.567,21.957
435,22.6,21.957
440,22.567,21.991
445,22.6,21.957
450,22.6,21.957
455,22.6,21.957
460,22.634,21.957
465,22.634,21.957
470,22.668,21.957
475,22.634,21.991
480,22.668,21.957
485,22.702,21.957
490,22.668,21.957
495,22.668,21.957
500,22.736,21.991
505,22.668,21.957
510,22.736,21.991
516,22.736,21.991
521,22.736,21.991
526,22.769,21.957
531,22.736,21.991
536,22.769,21.991
541,22.803,21.991
546,22.769,21.991
551,22.769,21.991
556,22.803,22.024
561,22.837,21.957
566,22.837,21.991
571,22.837,21.957
576,22.803,21.957
581,22.837,21.991
586,22.871,21.991
591,22.871,21.991
596,22.871,22.024
601,22.904,21.991
607,22.904,21.991
612,22.938,21.991
617,22.904,21.991
622,22.904,22.024
627,22.938,21.991
632,22.938,21.991
637,22.938,21.991
642,22.904,21.991
647,22.972,21.991
652,22.972,21.991
657,22.972,21.991
662,22.972,21.991
667,23.006,22.024
672,23.006,21.991
677,23.04,22.024
682,23.006,22.024
687,23.006,21.991
692,23.073,21.991
698,23.073,22.024
703,23.073,22.024
708,23.073,22.024
713,23.073,22.024
718,23.073,22.024
723,23.073,22.024
728,23.107,21.991
733,23.107,22.058
738,23.107,22.024
743,23.141,22.024
748,23.141,22.024
753,23.107,22.024
758,23.141,22.024
763,23.141,22.092
768,23.175,22.058
773,23.175,21.991
778,23.175,22.058
784,23.175,22.058
789,23.208,22.058
794,23.175,22.058
799,23.208,22.058
804,23.208,22.058
809,23.242,22.058
814,23.242,22.092
819,23.208,22.058
824,23.242,22.058
829,23.276,22.058
834,23.242,22.058
839,23.242,22.058
844,23.276,22.092
849,23.276,22.058
854,23.276,22.058
859,23.276,22.058
864,23.276,22.092
869,23.31,22.092
875,23.31,22.125
880,23.344,22.125
885,23.31,22.092
890,23.31,22.092
895,23.344,22.125
900,23.344,22.058
905,23.344,22.092
910,23.377,22.092
915,23.377,22.092
920,23.377,22.092
925,23.411,22.125
930,23.377,22.125
935,23.377,22.092
940,23.377,22.092
945,23.377,22.092
950,23.377,22.125
955,23.445,22.125
961,23.411,22.125
966,23.445,22.092
971,23.445,22.125
976,23.445,22.125
981,23.445,22.125
986,23.445,22.159
991,23.445,22.125
996,23.479,22.125
1001,23.479,22.125
1006,23.479,22.125
1011,23.479,22.125
1016,23.445,22.159
1021,23.479,22.125
1026,23.479,22.125
1031,23.479,22.159
1036,23.512,22.125
1041,23.512,22.159
1047,23.512,22.125
1052,23.512,22.159
1057,23.512,22.125
1062,23.546,22.159
1067,23.58,22.159
1072,23.58,22.193
1077,23.546,22.193
1082,23.546,22.193
1087,23.58,22.193
1092,23.546,22.159
1097,23.614,22.227
1102,23.614,22.193
1107,23.58,22.193
1112,23.614,22.193
1117,23.614,22.193
1122,23.614,22.227
1127,23.614,22.193
1132,23.614,22.227
1138,23.648,22.193
1143,23.681,22.227
1148,23.614,22.227
1153,23.614,22.26
1158,23.614,22.227
1163,23.648,22.227
1168,23.681,22.26
1173,23.648,22.193
1178,23.648,22.227
1183,23.681,22.26
1188,23.681,22.26
1193,23.681,22.26
1198,23.715,22.227
1203,23.715,22.227
1208,23.715,22.26
1213,23.749,22.227
1218,23.715,22.26
1224,23.715,22.26
1229,23.715,22.26
1234,23.715,22.26
1239,23.715,22.294
1244,23.715,22.26
1249,23.749,22.26
1254,23.783,22.26
1259,23.715,22.294
1264,23.715,22.294
1269,23.749,22.294
1274,23.783,22.294
1279,23.749,22.26
1284,23.749,22.294
1289,23.783,22.294
1294,23.783,22.294
1299,23.817,22.294
1304,23.817,22.328
1310,23.817,22.328
1315,23.817,22.294
1320,23.783,22.294
1325,23.817,22.328
1330,23.817,22.294
1335,23.817,22.294
1340,23.85,22.328
1345,23.817,22.361
1350,23.884,22.328
1355,23.817,22.328
1360,23.817,22.328
1365,23.85,22.328
1370,23.85,22.328
1375,23.884,22.361
1380,23.85,22.328
1385,23.884,22.361
1390,23.85,22.361
1395,23.85,22.328
1401,23.884,22.361
1406,23.884,22.395
1411,23.884,22.361
1416,23.884,22.361
1421,23.918,22.429
1426,23.884,22.361
1431,23.884,22.361
1436,23.918,22.361
1441,23.918,22.395
1446,23.918,22.361
1451,23.918,22.395
1456,23.918,22.395
