Time (s),PT0a (ohms-Hex),PT0b (ohms-Hex),PT1w (ohms-Hex),PT1s (ohms-Hex),PT2w (ohms-Hex),PT2s (ohms-Hex),PT3w (ohms-Hex),PT3s (ohms-Hex),PT4w (ohms-Hex),PT4s-REF (ohms-Hex)
0,8220,8226,8221,8232,8221,8219,8233,8208,8229.0,8213.0
5,8221,8227,8222,8231,8222,8219,8235,8208,8229.0,8213.0
10,8221,8227,8220,8231,8221,8217,8234,8208,8229.0,8213.0
15,8220,8226,8221,8232,8222,8218,8235,8208,8228.0,8214.0
20,8221,8227,8222,8233,8222,8219,8235,8209,8227.0,8213.0
25,8221,8228,8222,8232,8222,8219,8234,8208,8229.0,8213.0
30,8221,8227,8222,8232,8221,8219,8235,8208,8229.0,8213.0
35,8221,8227,8221,8232,8221,8219,8234,8208,8229.0,8213.0
40,8222,8227,8223,8233,8222,8218,8235,8209,8229.0,8213.0
45,8221,8227,8222,8232,8221,8219,8235,8209,8230.0,8214.0
50,8222,8227,8222,8232,8222,8220,8234,8208,8228.0,8214.0
55,8222,8227,8222,8232,8221,8219,8235,8208,8229.0,8213.0
60,8221,8228,8223,8232,8222,8219,8234,8209,8229.0,8214.0
65,8222,8228,8223,8232,8221,8219,8235,8208,8230.0,8213.0
70,8222,8227,8222,8232,8222,8219,8235,8208,8230.0,8214.0
75,8222,8228,8222,8232,8222,8219,8235,8208,8230.0,8214.0
80,8221,8228,8222,8233,8223,8218,8235,8208,8229.0,8214.0
85,8222,8228,8223,8233,8222,8219,8236,8208,8229.0,8213.0
90,8222,8228,8222,8232,8222,8220,8236,8209,8229.0,8213.0
95,8222,8228,8222,8232,8224,8220,8235,8209,8230.0,8214.0
100,8221,8227,8223,8233,8222,8219,8235,8208,8229.0,8214.0
105,8221,8229,8223,8233,8222,8218,8236,8209,8230.0,8213.0
110,8222,8229,8224,8233,8222,8220,8236,8209,8230.0,8214.0
115,8222,8228,8222,8232,8223,8220,8236,8209,8229.0,8214.0
120,8221,8228,8223,8232,8223,8220,8236,8208,8229.0,8214.0
125,8222,8228,8223,8232,8222,8219,8236,8209,8229.0,8214.0
130,8222,8228,8222,8233,8223,8220,8236,8209,8229.0,8214.0
135,8222,8228,8223,8233,8222,8220,8235,8209,8230.0,8214.0
140,8222,8228,8222,8233,8223,8220,8236,8210,8229.0,8214.0
145,8222,8228,8224,8232,8223,8219,8236,8209,8230.0,8214.0
150,8222,8228,8223,8232,8223,8219,8235,8210,8229.0,8214.0
155,8222,8228,8223,8233,8222,8220,8236,8209,8229.0,8215.0
160,8222,8228,8222,8233,8223,8220,8236,8209,8229.0,8213.0
165,8222,8228,8224,8233,8223,8219,8235,8209,8230.0,8215.0
170,8222,8228,8223,8232,8222,8220,8236,8209,8230.0,8214.0
175,8222,8228,8222,8233,8222,8219,8235,8209,8230.0,8214.0
180,8223,8228,8224,8233,8222,8220,8236,8209,8230.0,8214.0
185,8222,8228,8222,8233,8222,8220,8236,8208,8229.0,8213.0
190,8222,8228,8223,8233,8223,8220,8235,8210,8229.0,8215.0
195,8222,8228,8223,8233,8222,8220,8235,8209,8229.0,8215.0
200,8222,8229,8223,8233,8224,8220,8235,8210,8231.0,8215.0
205,8222,8228,8223,8233,8223,8220,8237,8208,8230.0,8213.0
210,8222,8229,8223,8233,8223,8220,8236,8208,8231.0,8214.0
215,8222,8228,8223,8233,8223,8221,8235,8209,8229.0,8214.0
220,8222,8229,8223,8233,8223,8219,8236,8210,8230.0,8215.0
225,8222,8228,8222,8233,8223,8220,8236,8209,8229.0,8214.0
230,8222,8228,8224,8232,8222,8219,8235,8209,8231.0,8214.0
235,8222,8229,8223,8233,8223,8221,8235,8209,8230.0,8214.0
240,8223,8228,8223,8233,8223,8220,8236,8208,8230.0,8214.0
245,8222,8228,8223,8234,8222,8221,8236,8210,8230.0,8215.0
250,8222,8230,8224,8233,8223,8220,8236,8209,8230.0,8214.0
255,8223,8229,8223,8233,8223,8220,8236,8210,8229.0,8214.0
260,8223,8229,8223,8233,8223,8219,8236,8209,8230.0,8214.0
265,8223,8228,8223,8233,8222,8220,8236,8210,8229.0,8214.0
270,8223,8228,8223,8234,8222,8220,8236,8210,8230.0,8214.0
275,8222,8228,8223,8233,8223,8220,8235,8210,8230.0,8215.0
280,8222,8228,8223,8233,8222,8220,8235,8209,8230.0,8215.0
285,8223,8228,8223,8233,8224,8220,8236,8209,,
290,8223,8228,8224,8234,8222,8220,8236,8209,,
295,8223,8228,8224,8233,8223,8220,8236,8209,,
300,8223,8229,8223,8234,8224,8219,8236,8209,,
305,8223,8228,8223,8234,8223,8220,8237,8209,,
310,8222,8228,8223,8233,8223,8220,8236,8210,,
315,8224,8229,8224,8233,8224,8220,8236,8209,,
