Time (s),PT1w (ohms-Hex),PT1s (ohms-Hex)
0.0,8260,8271
4.999999912,8261,8271
9.999999823,8262,8273
14.99999973,8261,8272
19.99999965,8261,8272
25.99999979,8262,8271
30.9999997,8261,8272
35.99999961,8262,8272
40.99999953,8262,8272
45.99999944,8262,8272
50.99999998,8261,8272
55.99999989,8262,8272
60.9999998,8262,8272
65.99999971,8262,8272
70.99999962,8262,8272
75.99999954,8262,8272
80.99999945,8261,8272
85.99999999,8262,8272
90.9999999,8262,8272
95.99999981,8262,8272
100.9999997,8263,8272
105.9999996,8262,8272
110.9999995,8262,8271
115.9999995,8262,8272
121.0,8261,8273
126.9999995,8262,8271
131.9999994,8262,8272
137.0,8262,8272
141.9999999,8262,8272
146.9999998,8263,8272
151.9999997,8263,8272
156.9999996,8263,8271
161.9999995,8263,8271
166.9999994,8263,8272
172.0,8263,8272
176.9999999,8264,8271
181.9999998,8264,8271
186.9999997,8265,8272
191.9999996,8264,8272
196.9999995,8266,8272
201.9999994,8266,8272
207.0,8267,8272
211.9999999,8266,8272
216.9999998,8267,8272
221.9999997,8267,8273
227.9999999,8268,8271
232.9999998,8269,8272
237.9999997,8270,8272
242.9999996,8270,8273
247.9999995,8270,8272
253.0,8270,8271
258.0,8271,8273
262.9999999,8271,8272
267.9999998,8271,8272
272.9999997,8272,8271
277.9999996,8273,8272
282.9999995,8273,8272
287.9999994,8274,8272
293.0,8275,8272
297.9999999,8275,8272
302.9999998,8276,8272
307.9999997,8277,8272
312.9999996,8277,8272
317.9999995,8278,8272
322.9999994,8278,8272
328.9999996,8278,8272
333.9999995,8279,8272
339.0,8280,8272
343.9999999,8281,8272
348.9999999,8281,8272
353.9999998,8282,8272
358.9999997,8283,8273
363.9999996,8283,8272
368.9999995,8284,8273
374.0,8285,8272
379.0,8286,8272
383.9999999,8286,8272
388.9999998,8287,8273
393.9999997,8287,8272
398.9999996,8288,8273
403.9999995,8289,8273
408.9999994,8289,8273
414.0,8290,8272
418.9999999,8290,8273
425.0,8291,8273
429.9999999,8293,8273
434.9999998,8293,8273
439.9999998,8293,8272
444.9999997,8294,8272
449.9999996,8294,8272
454.9999995,8295,8273
460.0,8295,8273
464.9999999,8296,8273
469.9999999,8297,8274
474.9999998,8298,8274
479.9999997,8299,8273
484.9999996,8299,8273
489.9999995,8300,8274
495.0,8300,8274
500.0,8301,8274
504.9999999,8302,8274
509.9999998,8303,8274
514.9999997,8303,8274
519.9999996,8305,8274
525.9999997,8305,8274
530.9999997,8305,8275
535.9999996,8306,8274
540.9999995,8307,8274
546.0,8308,8274
550.9999999,8308,8275
555.9999998,8309,8274
560.9999998,8309,8275
565.9999997,8311,8275
570.9999996,8311,8275
575.9999995,8311,8274
581.0,8312,8274
585.9999999,8313,8275
590.9999999,8313,8275
595.9999998,8315,8275
600.9999997,8315,8276
605.9999996,8315,8276
610.9999995,8316,8276
616.0,8317,8276
621.9999996,8317,8276
626.9999995,8318,8277
632.0,8319,8277
636.9999999,8320,8277
641.9999998,8320,8277
646.9999997,8321,8277
651.9999997,8321,8277
656.9999996,8321,8277
661.9999995,8322,8278
667.0,8324,8278
671.9999999,8324,8278
676.9999998,8324,8278
681.9999998,8325,8278
686.9999997,8326,8278
691.9999996,8326,8278
696.9999995,8327,8278
702.0,8327,8279
706.9999999,8327,8279
711.9999998,8327,8279
718.0,8328,8279
722.9999999,8328,8279
727.9999998,8328,8279
732.9999997,8327,8280
737.9999996,8327,8279
742.9999996,8328,8280
747.9999995,8328,8280
753.0,8328,8281
757.9999999,8328,8281
762.9999998,8328,8281
767.9999997,8328,8280
772.9999996,8327,8281
777.9999996,8328,8282
782.9999995,8328,8281
788.0,8328,8282
792.9999999,8328,8282
797.9999998,8328,8282
802.9999997,8327,8282
808.9999999,8328,8282
813.9999998,8327,8282
818.9999997,8328,8283
823.9999996,8327,8283
828.9999995,8326,8283
833.9999994,8326,8284
839.0,8327,8284
843.9999999,8327,8284
848.9999998,8328,8284
853.9999997,8327,8284
858.9999996,8327,8284
863.9999995,8327,8285
868.9999995,8327,8285
