Time (s),PT2w_cal (deg.C),PT2s_cal (deg.C)
1547,23.073,21.889
1552,23.073,21.889
1557,23.04,21.889
1562,23.04,21.923
1567,23.04,21.889
1572,23.006,21.889
1577,23.006,21.889
1583,23.04,21.889
1588,23.073,21.923
1593,23.073,21.856
1598,23.04,21.889
1603,23.04,21.923
1608,23.04,21.923
1613,23.04,21.923
1618,23.04,21.923
1623,23.073,21.889
1628,23.04,21.923
1633,23.04,21.889
1638,23.04,21.923
1643,23.006,21.923
1648,23.04,21.923
1653,23.006,21.923
1658,23.04,21.957
1663,23.006,21.889
1669,23.006,21.923
1674,23.04,21.923
1679,23.006,21.957
1684,23.006,21.957
1689,23.006,21.923
1694,23.006,21.957
1699,23.006,21.957
1704,23.006,21.923
1709,22.972,21.957
1714,22.972,21.923
1719,22.972,21.923
1724,22.972,21.957
1729,22.972,21.957
1734,23.006,21.957
1739,23.006,21.957
1744,23.006,21.923
1749,23.006,21.957
1754,23.006,21.957
1760,23.006,21.957
1765,23.006,21.957
1770,23.006,21.991
1775,22.938,21.991
1780,22.972,21.991
1785,22.938,21.957
1790,22.972,21.991
1795,22.972,21.991
1800,22.972,21.991
1805,22.972,22.024
1810,22.972,22.024
1815,22.938,21.991
1820,22.938,21.991
1825,22.972,22.024
1830,22.938,22.024
1835,22.938,22.024
1840,22.972,21.991
1846,22.938,21.991
1851,22.938,22.024
1856,22.972,21.991
1861,22.938,22.058
1866,22.938,21.991
1871,22.938,21.991
1876,22.904,22.024
1881,22.904,22.024
1886,22.972,21.991
1891,22.972,22.024
1896,22.972,22.058
1901,22.938,22.024
1906,22.972,22.024
1911,22.938,22.024
1916,22.904,22.024
1921,22.938,22.058
1926,22.904,22.058
1931,22.938,22.058
1937,22.938,22.024
1942,22.904,22.058
1947,22.938,22.024
1952,22.938,22.058
1957,22.904,22.024
1962,22.904,22.058
1967,22.904,22.058
1972,22.904,22.058
1977,22.904,22.058
1982,22.938,22.058
1987,22.904,22.058
1992,22.938,22.058
1997,22.904,22.058
2002,22.904,22.058
2007,22.904,22.058
2012,22.904,22.058
2017,22.871,22.058
2023,22.904,22.092
2028,22.904,22.058
2033,22.904,22.058
2038,22.938,22.058
2043,22.904,22.092
2048,22.871,22.058
2053,22.904,22.092
2058,22.904,22.092
2063,22.904,22.092
2068,22.871,22.125
2073,22.904,22.092
2078,22.904,22.092
2083,22.871,22.092
2088,22.904,22.058
2093,22.904,22.092
2098,22.904,22.092
2103,22.871,22.092
2108,22.871,22.058
2114,22.871,22.058
2119,22.904,22.092
2124,22.871,22.092
2129,22.871,22.125
2134,22.871,22.125
2139,22.871,22.092
2144,22.837,22.125
2149,22.837,22.058
2154,22.871,22.125
2159,22.904,22.092
2164,22.871,22.092
2169,22.871,22.125
2174,22.871,22.125
2179,22.837,22.159
2184,22.837,22.092
2189,22.837,22.092
2194,22.837,22.125
2200,22.871,22.159
2205,22.871,22.125
2210,22.837,22.125
2215,22.871,22.159
2220,22.871,22.125
2225,22.803,22.159
2230,22.837,22.159
2235,22.837,22.092
2240,22.837,22.159
2245,22.837,22.125
2250,22.837,22.159
2255,22.837,22.159
2260,22.837,22.125
2265,22.871,22.125
2270,22.837,22.125
2275,22.837,22.125
2280,22.837,22.193
2285,22.871,22.125
2291,22.803,22.159
2296,22.803,22.193
2301,22.803,22.125
2306,22.803,22.125
2311,22.837,22.125
2316,22.803,22.125
2321,22.837,22.193
2326,22.837,22.193
2331,22.803,22.159
2336,22.803,22.159
2341,22.837,22.193
2346,22.803,22.125
2351,22.803,22.227
2356,22.803,22.159
2361,22.837,22.125
2366,22.769,22.159
2371,22.803,22.193
2377,22.837,22.159
2382,22.803,22.159
2387,22.837,22.159
2392,22.803,22.193
2397,22.837,22.159
2402,22.803,22.159
2407,22.769,22.193
2412,22.769,22.193
2417,22.803,22.193
2422,22.803,22.159
2427,22.803,22.193
2432,22.769,22.227
2437,22.769,22.193
2442,22.769,22.159
2447,22.803,22.193
2452,22.803,22.227
2457,22.803,22.193
2463,22.769,22.193
2468,22.803,22.227
