Time (s),PT4w_cal (deg.C),PT4s_cal (deg.C)
0,21.08,21.339
5,21.147,21.407
10,21.181,21.373
15,21.181,21.373
20,21.181,21.373
25,21.147,21.407
30,21.147,21.407
35,21.147,21.44
40,21.181,21.407
45,21.181,21.373
50,21.181,21.407
55,21.215,21.407
60,21.181,21.407
65,21.215,21.44
70,21.215,21.373
75,21.215,21.407
80,21.249,21.407
86,21.282,21.407
91,21.316,21.373
96,21.316,21.373
101,21.316,21.373
106,21.35,21.407
111,21.35,21.44
116,21.384,21.407
121,21.417,21.407
126,21.417,21.373
131,21.451,21.407
136,21.485,21.407
141,21.451,21.407
146,21.519,21.373
151,21.552,21.373
156,21.552,21.407
161,21.552,21.407
166,21.62,21.373
171,21.586,21.373
177,21.62,21.373
182,21.654,21.407
187,21.654,21.373
192,21.688,21.373
197,21.688,21.339
202,21.688,21.407
207,21.721,21.373
212,21.755,21.407
217,21.789,21.407
222,21.823,21.373
227,21.823,21.373
232,21.823,21.339
237,21.856,21.407
242,21.924,21.373
247,21.89,21.373
252,21.924,21.373
257,21.958,21.373
262,21.958,21.373
268,21.991,21.407
273,21.991,21.339
278,22.059,21.373
283,22.059,21.407
288,22.093,21.407
293,22.126,21.407
298,22.16,21.407
303,22.16,21.373
308,22.194,21.373
313,22.194,21.373
318,22.262,21.373
323,22.228,21.339
328,22.262,21.373
333,22.329,21.373
338,22.329,21.373
343,22.329,21.407
348,22.363,21.373
353,22.363,21.407
359,22.43,21.373
364,22.43,21.339
369,22.464,21.373
374,22.498,21.373
379,22.498,21.373
384,22.498,21.373
389,22.532,21.373
394,22.565,21.373
399,22.565,21.44
404,22.633,21.373
409,22.667,21.373
414,22.633,21.339
419,22.667,21.373
424,22.667,21.407
429,22.701,21.339
434,22.701,21.373
439,22.734,21.373
444,22.768,21.407
450,22.802,21.373
455,22.802,21.373
460,22.869,21.407
465,22.869,21.407
470,22.869,21.373
475,22.869,21.339
480,22.903,21.373
485,22.971,21.373
490,22.971,21.373
495,23.004,21.373
500,23.038,21.373
505,23.038,21.339
510,23.038,21.373
515,23.072,21.407
520,23.106,21.373
