Time (s),PT2w (ohms-Hex),PT2s (ohms-Hex)
0,8282,8278
5,8282,8278
10,8282,8277
15,8282,8278
20,8283,8278
25,8282,8278
30,8282,8278
35,8282,8278
40,8282,8278
45,8282,8278
50,8282,8278
55,8282,8278
60,8283,8278
65,8281,8278
70,8282,8278
76,8282,8278
81,8282,8277
86,8282,8278
91,8282,8278
96,8282,8277
101,8282,8277
106,8282,8278
111,8282,8277
116,8282,8277
121,8282,8278
126,8283,8278
131,8282,8278
136,8283,8278
141,8283,8277
146,8282,8277
151,8282,8277
156,8283,8277
161,8282,8277
167,8284,8279
172,8283,8279
177,8283,8277
182,8283,8278
187,8284,8277
192,8284,8277
197,8284,8278
202,8285,8278
207,8285,8278
212,8287,8278
217,8285,8277
222,8286,8278
227,8286,8279
232,8287,8278
237,8287,8277
242,8288,8278
247,8288,8278
253,8288,8277
258,8289,8277
263,8289,8278
268,8289,8279
273,8289,8277
278,8289,8278
283,8290,8277
288,8290,8278
293,8291,8277
298,8290,8276
303,8292,8278
308,8291,8278
313,8292,8278
318,8292,8278
323,8292,8279
328,8292,8279
333,8293,8277
339,8293,8278
344,8294,8278
349,8294,8278
354,8295,8278
359,8295,8279
364,8294,8278
369,8296,8278
374,8296,8277
379,8296,8278
384,8297,8277
389,8297,8278
394,8297,8278
399,8298,8279
404,8298,8278
409,8298,8279
414,8298,8278
419,8298,8277
424,8298,8278
430,8299,8278
435,8300,8278
440,8299,8279
445,8300,8278
450,8300,8278
455,8300,8278
460,8301,8278
465,8301,8278
470,8302,8278
475,8301,8279
480,8302,8278
485,8303,8278
490,8302,8278
495,8302,8278
500,8304,8279
505,8302,8278
510,8304,8279
516,8304,8279
521,8304,8279
526,8305,8278
531,8304,8279
536,8305,8279
541,8306,8279
546,8305,8279
551,8305,8279
556,8306,8280
561,8307,8278
566,8307,8279
571,8307,8278
576,8306,8278
581,8307,8279
586,8308,8279
591,8308,8279
596,8308,8280
601,8309,8279
607,8309,8279
612,8310,8279
617,8309,8279
622,8309,8280
627,8310,8279
632,8310,8279
637,8310,8279
642,8309,8279
647,8311,8279
652,8311,8279
657,8311,8279
662,8311,8279
667,8312,8280
672,8312,8279
677,8313,8280
682,8312,8280
687,8312,8279
692,8314,8279
698,8314,8280
703,8314,8280
708,8314,8280
713,8314,8280
718,8314,8280
723,8314,8280
728,8315,8279
733,8315,8281
738,8315,8280
743,8316,8280
748,8316,8280
753,8315,8280
758,8316,8280
763,8316,8282
768,8317,8281
773,8317,8279
778,8317,8281
784,8317,8281
789,8318,8281
794,8317,8281
799,8318,8281
804,8318,8281
809,8319,8281
814,8319,8282
819,8318,8281
824,8319,8281
829,8320,8281
834,8319,8281
839,8319,8281
844,8320,8282
849,8320,8281
854,8320,8281
859,8320,8281
864,8320,8282
869,8321,8282
875,8321,8283
880,8322,8283
885,8321,8282
890,8321,8282
895,8322,8283
900,8322,8281
905,8322,8282
910,8323,8282
915,8323,8282
920,8323,8282
925,8324,8283
930,8323,8283
935,8323,8282
940,8323,8282
945,8323,8282
950,8323,8283
955,8325,8283
961,8324,8283
966,8325,8282
971,8325,8283
976,8325,8283
981,8325,8283
986,8325,8284
991,8325,8283
996,8326,8283
1001,8326,8283
1006,8326,8283
1011,8326,8283
1016,8325,8284
1021,8326,8283
1026,8326,8283
1031,8326,8284
1036,8327,8283
1041,8327,8284
1047,8327,8283
1052,8327,8284
1057,8327,8283
1062,8328,8284
1067,8329,8284
1072,8329,8285
1077,8328,8285
1082,8328,8285
1087,8329,8285
1092,8328,8284
1097,8330,8286
1102,8330,8285
1107,8329,8285
1112,8330,8285
1117,8330,8285
1122,8330,8286
1127,8330,8285
1132,8330,8286
1138,8331,8285
1143,8332,8286
1148,8330,8286
1153,8330,8287
1158,8330,8286
1163,8331,8286
1168,8332,8287
1173,8331,8285
1178,8331,8286
1183,8332,8287
1188,8332,8287
1193,8332,8287
1198,8333,8286
1203,8333,8286
1208,8333,8287
1213,8334,8286
1218,8333,8287
1224,8333,8287
1229,8333,8287
1234,8333,8287
1239,8333,8288
1244,8333,8287
1249,8334,8287
1254,8335,8287
1259,8333,8288
1264,8333,8288
1269,8334,8288
1274,8335,8288
1279,8334,8287
1284,8334,8288
1289,8335,8288
1294,8335,8288
1299,8336,8288
1304,8336,8289
1310,8336,8289
1315,8336,8288
1320,8335,8288
1325,8336,8289
1330,8336,8288
1335,8336,8288
1340,8337,8289
1345,8336,8290
1350,8338,8289
1355,8336,8289
1360,8336,8289
1365,8337,8289
1370,8337,8289
1375,8338,8290
1380,8337,8289
1385,8338,8290
1390,8337,8290
1395,8337,8289
1401,8338,8290
1406,8338,8291
1411,8338,8290
1416,8338,8290
1421,8339,8292
1426,8338,8290
1431,8338,8290
1436,8339,8290
1441,8339,8291
1446,8339,8290
1451,8339,8291
1456,8339,8291
1461,8340,8291
1466,8340,8291
1471,8341,8291
1476,8340,8291
1481,8339,8291
1487,8340,8291
1492,8340,8292
1497,8341,8291
1502,8340,8291
1507,8340,8292
1512,8340,8292
1517,8341,8292
1522,8340,8292
1527,8340,8293
1532,8342,8292
1537,8342,8292
1542,8342,8293
1547,8342,8293
1552,8341,8292
1557,8341,8293
1562,8343,8294
1567,8342,8293
1572,8342,8294
1578,8343,8293
1583,8342,8293
1588,8343,8293
1593,8342,8294
1598,8343,8294
1603,8344,8294
1608,8343,8293
1613,8343,8294
1618,8343,8295
1623,8343,8292
1628,8343,8295
1633,8343,8294
1638,8344,8294
1643,8345,8294
1648,8345,8295
1653,8344,8295
1658,8344,8295
1664,8344,8295
1669,8344,8295
1674,8344,8295
1679,8344,8295
1684,8345,8295
1689,8345,8296
1694,8344,8295
1699,8345,8295
