Time (s),PT1w_cal (deg.C),PT1s_cal (deg.C)
0,21.241,21.271
5,21.274,21.271
10,21.308,21.338
15,21.274,21.305
20,21.274,21.305
26,21.308,21.271
31,21.274,21.305
36,21.308,21.305
41,21.308,21.305
46,21.308,21.305
51,21.274,21.305
56,21.308,21.305
61,21.308,21.305
66,21.308,21.305
71,21.308,21.305
76,21.308,21.305
81,21.274,21.305
86,21.308,21.305
91,21.308,21.305
96,21.308,21.305
101,21.342,21.305
106,21.308,21.305
111,21.308,21.271
116,21.308,21.305
121,21.274,21.338
127,21.308,21.271
132,21.308,21.305
137,21.308,21.305
142,21.308,21.305
147,21.342,21.305
152,21.342,21.305
157,21.342,21.271
162,21.342,21.271
167,21.342,21.305
172,21.342,21.305
177,21.376,21.271
182,21.376,21.271
187,21.409,21.305
192,21.376,21.305
197,21.443,21.305
202,21.443,21.305
207,21.477,21.305
212,21.443,21.305
217,21.477,21.305
222,21.477,21.338
228,21.511,21.271
233,21.544,21.305
238,21.578,21.305
243,21.578,21.338
248,21.578,21.305
253,21.578,21.271
258,21.612,21.338
263,21.612,21.305
268,21.612,21.305
273,21.645,21.271
278,21.679,21.305
283,21.679,21.305
288,21.713,21.305
293,21.747,21.305
298,21.747,21.305
303,21.78,21.305
308,21.814,21.305
313,21.814,21.305
318,21.848,21.305
323,21.848,21.305
329,21.848,21.305
334,21.882,21.305
339,21.915,21.305
344,21.949,21.305
349,21.949,21.305
354,21.983,21.305
359,22.017,21.338
364,22.017,21.305
369,22.05,21.338
374,22.084,21.305
379,22.118,21.305
384,22.118,21.305
389,22.152,21.338
394,22.152,21.305
399,22.185,21.338
404,22.219,21.338
409,22.219,21.338
414,22.253,21.305
419,22.253,21.338
425,22.287,21.338
430,22.354,21.338
435,22.354,21.338
440,22.354,21.305
445,22.388,21.305
450,22.388,21.305
455,22.422,21.338
460,22.422,21.338
465,22.455,21.338
470,22.489,21.372
475,22.523,21.372
480,22.557,21.338
485,22.557,21.338
490,22.59,21.372
495,22.59,21.372
500,22.624,21.372
505,22.658,21.372
510,22.692,21.372
515,22.692,21.372
520,22.759,21.372
526,22.759,21.372
531,22.759,21.406
536,22.793,21.372
541,22.827,21.372
546,22.86,21.372
551,22.86,21.406
556,22.894,21.372
561,22.894,21.406
566,22.962,21.406
571,22.962,21.406
576,22.962,21.372
581,22.996,21.372
586,23.029,21.406
591,23.029,21.406
596,23.097,21.406
601,23.097,21.44
606,23.097,21.44
611,23.131,21.44
616,23.164,21.44
622,23.164,21.44
627,23.198,21.473
632,23.232,21.473
637,23.266,21.473
642,23.266,21.473
647,23.299,21.473
652,23.299,21.473
657,23.299,21.473
662,23.333,21.507
667,23.401,21.507
672,23.401,21.507
677,23.401,21.507
682,23.434,21.507
687,23.468,21.507
692,23.468,21.507
697,23.502,21.507
702,23.502,21.541
707,23.502,21.541
712,23.502,21.541
718,23.536,21.541
723,23.536,21.541
728,23.536,21.541
733,23.502,21.574
738,23.502,21.541
743,23.536,21.574
748,23.536,21.574
753,23.536,21.608
758,23.536,21.608
763,23.536,21.608
768,23.536,21.574
773,23.502,21.608
778,23.536,21.642
783,23.536,21.608
788,23.536,21.642
793,23.536,21.642
798,23.536,21.642
803,23.502,21.642
809,23.536,21.642
814,23.502,21.642
819,23.536,21.675
824,23.502,21.675
829,23.468,21.675
834,23.468,21.709
839,23.502,21.709
844,23.502,21.709
849,23.536,21.709
854,23.502,21.709
859,23.502,21.709
864,23.502,21.743
869,23.502,21.743
874,23.468,21.743
879,23.468,21.777
884,23.468,21.777
889,23.468,21.777
894,23.468,21.777
899,23.468,21.777
905,23.468,21.81
910,23.434,21.81
915,23.434,21.777
920,23.434,21.81
925,23.434,21.81
930,23.468,21.81
935,23.468,21.81
940,23.434,21.844
945,23.434,21.844
950,23.434,21.844
955,23.434,21.844
960,23.434,21.844
965,23.434,21.844
970,23.401,21.844
975,23.401,21.911
980,23.434,21.878
985,23.401,21.911
990,23.401,21.911
995,23.401,21.911
1000,23.401,21.911
1006,23.401,21.911
1011,23.434,21.945
1016,23.401,21.945
1021,23.401,21.945
1026,23.401,21.945
1031,23.401,21.945
1036,23.401,21.945
1041,23.401,21.979
1046,23.401,21.945
1051,23.401,21.979
1056,23.367,21.945
1061,23.367,21.979
1066,23.401,21.979
1071,23.367,22.013
1076,23.333,22.013
1081,23.367,22.013
1086,23.367,22.013
1091,23.367,22.046
1096,23.367,22.013
1102,23.367,22.046
1107,23.333,22.046
1112,23.367,22.046
