Time (s),PT1w (ohms-Hex),PT1s (ohms-Hex)
1890,8350,8330
1895,8351,8330
1900,8350,8330
1905,8350,8331
1910,8350,8331
1915,8350,8332
1920,8351,8331
1925,8351,8331
1930,8351,8332
1935,8351,8332
1940,8351,8331
1946,8351,8332
1951,8351,8332
1956,8351,8332
1961,8352,8332
1966,8351,8332
1971,8352,8332
1976,8352,8332
1981,8352,8333
1986,8352,8333
1991,8351,8333
1996,8352,8333
2001,8352,8333
2006,8352,8334
2011,8352,8333
2016,8353,8334
2021,8353,8334
2026,8353,8334
2031,8353,8334
2036,8353,8334
2042,8353,8334
2047,8354,8334
2052,8353,8334
2057,8353,8334
2062,8354,8335
2067,8354,8335
2072,8354,8335
2077,8353,8336
2082,8354,8335
2087,8354,8335
2092,8354,8335
2097,8354,8336
2102,8354,8335
2107,8355,8336
2112,8354,8336
2117,8354,8336
2122,8354,8337
2127,8354,8336
2132,8355,8337
2138,8355,8336
2143,8355,8337
2148,8355,8337
2153,8355,8337
2158,8355,8337
2163,8355,8338
2168,8355,8338
2173,8355,8338
2178,8356,8338
2183,8355,8337
2188,8356,8339
2193,8356,8338
2198,8356,8339
2203,8356,8338
2208,8356,8338
2213,8356,8339
2218,8356,8339
2223,8356,8339
2228,8356,8339
2234,8357,8339
2239,8357,8339
2244,8356,8339
2249,8356,8339
2254,8356,8340
2259,8357,8340
2264,8357,8340
2269,8357,8340
2274,8358,8340
2279,8358,8341
2284,8358,8340
2289,8358,8340
2294,8358,8341
2299,8357,8341
2304,8357,8341
2309,8358,8341
2314,8358,8341
2319,8358,8341
2324,8358,8341
2330,8358,8342
2335,8358,8342
2340,8359,8342
2345,8359,8342
2350,8358,8342
2355,8359,8342
2360,8358,8343
2365,8358,8343
2370,8358,8342
2375,8359,8343
2380,8359,8343
2385,8359,8343
2390,8359,8343
2395,8359,8343
2400,8359,8343
2405,8360,8342
2410,8359,8343
2415,8359,8344
2420,8359,8343
2426,8359,8344
2431,8360,8344
2436,8359,8345
2441,8360,8345
2446,8361,8345
2451,8360,8345
2456,8360,8344
2461,8360,8345
2466,8361,8344
2471,8360,8344
2476,8360,8345
2481,8361,8345
2486,8361,8345
2491,8361,8345
2496,8361,8345
2501,8361,8345
2506,8361,8346
