Time (s),PT3w (ohms-Hex),PT3s (ohms-Hex)
0,8300,8274
5,8302,8274
10,8301,8274
15,8301,8274
20,8301,8275
25,8301,8274
30,8301,8275
35,8300,8274
40,8301,8274
45,8301,8273
50,8302,8275
55,8301,8274
60,8301,8274
65,8301,8274
70,8301,8274
75,8301,8274
80,8301,8273
85,8301,8274
91,8302,8274
96,8302,8273
101,8301,8274
106,8301,8273
111,8301,8275
116,8300,8274
121,8301,8275
126,8300,8274
131,8301,8273
136,8301,8275
141,8301,8275
146,8301,8274
151,8301,8273
156,8302,8274
161,8301,8274
166,8301,8274
171,8301,8274
176,8302,8276
182,8302,8274
187,8303,8274
192,8303,8275
197,8303,8274
202,8302,8274
207,8303,8275
212,8304,8275
217,8304,8275
222,8304,8274
227,8305,8274
232,8305,8274
237,8305,8273
242,8305,8274
247,8306,8274
252,8306,8273
257,8307,8274
262,8307,8274
267,8307,8274
273,8308,8274
278,8308,8274
283,8308,8275
288,8309,8274
293,8309,8274
298,8311,8275
303,8310,8275
308,8311,8274
313,8311,8274
318,8311,8274
323,8312,8273
328,8312,8275
333,8312,8274
338,8312,8274
343,8313,8275
348,8313,8275
353,8314,8275
358,8315,8274
363,8315,8274
369,8314,8275
374,8315,8274
379,8315,8275
384,8316,8274
389,8316,8274
394,8316,8274
399,8317,8274
404,8317,8275
409,8317,8274
414,8318,8274
419,8318,8274
424,8318,8274
429,8318,8273
434,8320,8274
439,8319,8274
444,8319,8274
449,8320,8274
454,8320,8274
460,8320,8274
465,8320,8274
470,8320,8274
475,8320,8274
480,8322,8275
485,8322,8274
490,8322,8275
495,8323,8274
500,8322,8275
505,8323,8275
510,8323,8274
515,8323,8274
520,8324,8274
525,8324,8274
530,8324,8274
535,8324,8274
540,8325,8274
545,8324,8274
550,8325,8274
556,8324,8274
561,8326,8274
566,8325,8275
571,8326,8274
576,8327,8274
581,8326,8275
586,8327,8275
591,8328,8274
596,8328,8274
601,8327,8273
606,8327,8274
611,8329,8274
616,8329,8273
621,8329,8275
626,8328,8274
631,8329,8275
636,8329,8274
641,8330,8274
647,8330,8274
652,8330,8274
657,8330,8274
662,8331,8273
667,8331,8274
672,8331,8274
677,8331,8275
682,8332,8275
687,8332,8274
692,8331,8274
697,8333,8274
702,8333,8273
707,8333,8274
712,8333,8274
717,8333,8274
722,8333,8274
727,8333,8274
732,8334,8274
738,8334,8274
743,8334,8274
748,8334,8275
753,8335,8275
758,8334,8274
763,8335,8275
768,8335,8275
773,8336,8274
778,8336,8274
783,8336,8275
788,8335,8274
793,8336,8274
798,8337,8274
803,8337,8275
808,8337,8275
813,8337,8274
818,8338,8274
823,8337,8274
828,8338,8273
834,8337,8275
839,8338,8274
844,8338,8274
849,8339,8275
854,8338,8274
859,8339,8275
864,8339,8275
869,8340,8275
874,8339,8275
879,8340,8274
884,8339,8275
889,8340,8274
894,8340,8275
899,8340,8276
904,8342,8275
909,8341,8275
914,8341,8275
919,8341,8276
925,8341,8275
930,8341,8275
935,8342,8275
940,8341,8274
945,8342,8276
950,8342,8275
955,8342,8274
960,8342,8275
965,8343,8275
970,8343,8275
975,8342,8274
980,8343,8276
985,8343,8275
990,8343,8276
995,8344,8275
1000,8343,8275
1005,8344,8275
1010,8344,8276
1015,8345,8276
1021,8345,8275
1026,8344,8276
1031,8345,8275
1036,8345,8275
1041,8345,8276
1046,8346,8275
1051,8346,8275
1056,8345,8275
1061,8346,8276
1066,8346,8276
1071,8346,8276
1076,8346,8276
1081,8347,8276
1086,8348,8275
1091,8347,8276
1096,8347,8275
1101,8346,8276
1106,8347,8275
1112,8347,8276
1117,8347,8275
1122,8347,8276
1127,8348,8275
1132,8347,8276
1137,8349,8277
1142,8348,8275
1147,8348,8277
1152,8348,8276
1157,8348,8276
1162,8349,8277
1167,8348,8276
1172,8348,8276
1177,8349,8276
1182,8349,8276
1187,8349,8276
1192,8349,8277
1197,8350,8276
1203,8349,8276
1208,8350,8276
1213,8350,8276
1218,8350,8276
1223,8350,8277
1228,8350,8278
1233,8350,8277
1238,8351,8277
1243,8350,8277
1248,8351,8277
1253,8351,8277
1258,8351,8276
1263,8351,8277
1268,8351,8277
1273,8351,8277
1278,8351,8277
1283,8351,8277
1288,8354,8278
1294,8351,8276
1299,8354,8277
1304,8352,8276
1309,8353,8278
1314,8353,8278
1319,8352,8277
1324,8354,8278
1329,8353,8277
1334,8354,8278
1339,8353,8277
1344,8354,8277
1349,8354,8277
1354,8353,8276
1359,8354,8278
1364,8354,8276
1369,8354,8277
1374,8355,8278
1379,8355,8278
1385,8354,8278
