Time (s),PT3w_cal (deg.C),PT3s_cal (deg.C)
0,21.419,21.542
5,21.419,21.576
10,21.486,21.542
15,21.453,21.576
20,21.453,21.576
25,21.453,21.542
30,21.419,21.542
35,21.486,21.542
40,21.453,21.576
45,21.453,21.61
50,21.453,21.576
55,21.486,21.576
61,21.453,21.576
66,21.453,21.61
71,21.453,21.542
76,21.453,21.576
81,21.453,21.576
86,21.453,21.576
91,21.419,21.542
96,21.486,21.508
101,21.486,21.542
106,21.419,21.542
111,21.419,21.576
116,21.453,21.61
121,21.486,21.576
126,21.486,21.542
131,21.453,21.576
136,21.453,21.542
141,21.453,21.644
146,21.453,21.576
151,21.453,21.576
157,21.453,21.576
162,21.486,21.508
167,21.486,21.576
172,21.486,21.576
177,21.486,21.576
182,21.453,21.542
187,21.486,21.576
192,21.486,21.542
197,21.52,21.576
202,21.52,21.576
207,21.554,21.542
212,21.52,21.61
217,21.52,21.576
222,21.52,21.576
227,21.52,21.576
232,21.554,21.576
237,21.52,21.576
243,21.587,21.576
248,21.587,21.542
253,21.621,21.542
258,21.587,21.542
263,21.621,21.576
268,21.655,21.542
273,21.621,21.542
278,21.655,21.576
283,21.688,21.542
288,21.655,21.576
293,21.722,21.61
298,21.722,21.576
303,21.756,21.508
308,21.756,21.61
313,21.756,21.61
318,21.79,21.576
323,21.823,21.576
328,21.823,21.542
334,21.891,21.61
339,21.891,21.542
344,21.891,21.576
349,21.891,21.542
354,21.924,21.542
359,21.924,21.542
364,21.992,21.542
369,21.992,21.542
374,22.025,21.542
379,22.025,21.542
384,22.025,21.542
389,22.093,21.542
394,22.059,21.542
399,22.126,21.576
404,22.126,21.542
409,22.16,21.576
414,22.16,21.61
419,22.194,21.576
424,22.194,21.61
430,22.261,21.576
435,22.261,21.576
440,22.295,21.542
445,22.329,21.576
450,22.329,21.576
455,22.362,21.576
460,22.329,21.542
465,22.396,21.576
470,22.396,21.576
475,22.396,21.576
480,22.463,21.576
485,22.497,21.576
490,22.463,21.542
495,22.531,21.542
500,22.531,21.576
505,22.531,21.508
510,22.564,21.542
515,22.564,21.542
521,22.598,21.576
526,22.632,21.576
531,22.666,21.576
536,22.666,21.576
541,22.699,21.576
546,22.699,21.542
551,22.699,21.576
556,22.733,21.542
561,22.733,21.576
566,22.767,21.576
571,22.8,21.61
576,22.834,21.542
581,22.834,21.61
586,22.868,21.61
591,22.868,21.576
596,22.901,21.576
601,22.901,21.542
606,22.901,21.576
611,22.969,21.576
617,22.969,21.61
622,22.969,21.542
627,23.002,21.508
632,23.036,21.542
637,23.036,21.576
642,23.07,21.576
647,23.036,21.542
652,23.07,21.576
657,23.104,21.61
662,23.137,21.542
667,23.171,21.542
672,23.205,21.576
677,23.238,21.542
682,23.205,21.576
687,23.238,21.576
692,23.272,21.542
697,23.272,21.576
702,23.272,21.542
708,23.339,21.576
713,23.306,21.542
718,23.306,21.576
723,23.339,21.576
728,23.373,21.542
733,23.407,21.576
738,23.407,21.576
743,23.407,21.576
748,23.407,21.508
753,23.441,21.542
758,23.441,21.542
763,23.407,21.576
768,23.407,21.576
773,23.441,21.61
778,23.407,21.576
783,23.441,21.542
788,23.441,21.576
793,23.407,21.576
798,23.441,21.61
804,23.441,21.508
809,23.407,21.542
814,23.407,21.61
819,23.407,21.576
824,23.441,21.576
829,23.407,21.542
834,23.407,21.542
839,23.407,21.576
844,23.373,21.644
849,23.373,21.542
854,23.373,21.542
859,23.373,21.576
864,23.373,21.61
869,23.407,21.61
874,23.339,21.61
879,23.339,21.576
884,23.407,21.61
889,23.373,21.61
895,23.373,21.61
900,23.339,21.61
905,23.373,21.61
910,23.339,21.61
915,23.373,21.61
920,23.373,21.576
925,23.339,21.61
930,23.339,21.576
935,23.339,21.644
940,23.339,21.644
945,23.339,21.61
950,23.339,21.576
955,23.306,21.576
960,23.306,21.576
965,23.306,21.61
970,23.306,21.61
975,23.306,21.576
980,23.272,21.61
985,23.306,21.576
991,23.339,21.61
996,23.272,21.644
1001,23.339,21.61
1006,23.272,21.576
1011,23.306,21.61
1016,23.272,21.61
1021,23.272,21.61
1026,23.306,21.576
1031,23.272,21.644
1036,23.306,21.644
1041,23.272,21.61
1046,23.272,21.576
1051,23.306,21.61
1056,23.272,21.61
1061,23.272,21.61
1066,23.272,21.61
1071,23.238,21.644
1076,23.238,21.61
1082,23.238,21.644
1087,23.272,21.61
1092,23.238,21.677
1097,23.238,21.644
1102,23.272,21.61
1107,23.205,21.677
1112,23.272,21.644
1117,23.238,21.677
1122,23.238,21.644
1127,23.205,21.677
1132,23.272,21.644
1137,23.238,21.644
1142,23.205,21.61
1147,23.205,21.61
1152,23.205,21.61
1157,23.205,21.644
1162,23.238,21.644
1167,23.205,21.677
1172,23.205,21.644
1178,23.238,21.61
1183,23.205,21.644
1188,23.205,21.644
1193,23.205,21.644
1198,23.205,21.677
1203,23.205,21.677
1208,23.171,21.677
1213,23.238,21.61
1218,23.205,21.711
1223,23.205,21.61
1228,23.205,21.677
1233,23.205,21.644
1238,23.205,21.644
1243,23.171,21.644
1248,23.137,21.745
1253,23.171,21.711
1258,23.137,21.677
1263,23.171,21.745
1269,23.137,21.677
1274,23.171,21.677
1279,23.171,21.677
1284,23.171,21.677
1289,23.171,21.745
1294,23.171,21.677
1299,23.171,21.677
1304,23.137,21.677
1309,23.171,21.677
1314,23.137,21.677
1319,23.171,21.711
1324,23.137,21.711
1329,23.137,21.711
1334,23.137,21.745
1339,23.137,21.677
1344,23.137,21.745
1349,23.137,21.711
1354,23.171,21.711
1360,23.137,21.677
1365,23.104,21.711
1370,23.104,21.711
1375,23.137,21.711
1380,23.171,21.677
1385,23.137,21.745
1390,23.104,21.745
1395,23.104,21.677
1400,23.104,21.745
1405,23.104,21.745
1410,23.104,21.711
1415,23.104,21.711
1420,23.137,21.677
1425,23.104,21.745
1430,23.104,21.745
1435,23.104,21.711
1440,23.104,21.677
1445,23.07,21.745
1451,23.104,21.745
1456,23.104,21.745
1461,23.104,21.779
1466,23.104,21.745
1471,23.07,21.745
1476,23.104,21.745
1481,23.104,21.745
1486,23.104,21.745
1491,23.104,21.779
1496,23.104,21.711
1501,23.036,21.745
1506,23.104,21.745
1511,23.104,21.779
1516,23.07,21.813
1521,23.104,21.779
1526,23.104,21.779
1531,23.07,21.779
1536,23.07,21.779
1542,23.07,21.745
1547,23.036,21.813
1552,23.104,21.779
1557,23.07,21.745
1562,23.07,21.779
1567,23.07,21.779
1572,23.07,21.813
1577,23.07,21.813
1582,23.036,21.813
1587,23.036,21.779
1592,23.036,21.779
1597,23.036,21.813
1602,23.07,21.813
1607,23.07,21.813
1612,23.036,21.813
1617,23.036,21.813
1622,23.036,21.846
1627,23.036,21.813
1632,23.036,21.779
1638,23.036,21.779
1643,23.07,21.779
1648,23.036,21.813
1653,23.036,21.846
1658,23.036,21.813
1663,23.07,21.813
1668,23.036,21.813
1673,23.036,21.846
1678,23.036,21.846
1683,23.002,21.88
1688,23.002,21.813
1693,23.036,21.813
1698,23.036,21.846
1703,23.002,21.846
1708,23.002,21.813
1713,23.002,21.813
1718,23.002,21.813
1723,23.002,21.88
1729,23.002,21.846
1734,23.002,21.813
1739,23.036,21.846
1744,23.002,21.846
1749,23.002,21.813
1754,23.036,21.813
1759,22.969,21.846
1764,23.002,21.88
1769,23.002,21.846
1774,23.036,21.846
1779,22.969,21.846
1784,23.002,21.846
1789,22.969,21.88
1794,23.002,21.846
1799,23.002,21.88
1804,23.002,21.88
1809,23.002,21.88
1814,23.002,21.88
1819,23.002,21.914
1825,22.969,21.846
1830,23.002,21.846
1835,23.002,21.88
1840,22.969,21.88
1845,22.969,21.88
1850,23.002,21.846
1855,22.969,21.88
1860,23.002,21.846
1865,22.969,21.846
1870,22.969,21.88
1875,22.969,21.948
1880,22.969,21.88
1885,22.969,21.88
1890,23.002,21.948
1895,22.935,21.88
1900,23.002,21.948
1905,22.935,21.948
1910,22.969,21.914
1916,22.969,21.88
1921,22.969,21.948
1926,22.935,21.88
1931,22.935,21.88
1936,22.969,21.948
1941,22.935,21.914
1946,22.969,21.914
1951,22.969,21.948
1956,22.935,21.914
1961,22.969,21.948
1966,22.935,21.914
1971,22.969,21.914
1976,22.969,21.88
1981,22.935,21.948
1986,22.969,21.914
1991,22.969,21.982
1996,22.969,21.914
2001,22.935,21.948
2007,22.935,21.914
2012,22.935,21.914
2017,22.935,21.914
2022,22.969,21.948
2027,22.935,21.948
2032,22.901,21.948
2037,22.935,21.948
2042,22.901,21.948
2047,22.969,21.948
2052,22.901,21.982
2057,22.969,21.948
2062,22.901,21.914
2067,22.901,21.948
2072,22.935,21.982
2077,22.935,21.948
2082,22.935,21.982
2087,22.935,21.88
2092,22.935,21.948
2097,22.901,21.948
2103,22.901,21.948
2108,22.935,22.016
2113,22.901,21.948
2118,22.901,21.948
2123,22.935,21.948
2128,22.935,21.948
2133,22.901,21.948
2138,22.901,22.016
2143,22.901,21.982
2148,22.901,21.982
2153,22.901,21.982
2158,22.901,21.982
2163,22.901,22.016
2168,22.901,21.982
2173,22.901,21.982
2178,22.901,22.016
2183,22.868,21.982
2188,22.901,21.982
2194,22.935,21.982
2199,22.901,22.016
2204,22.868,21.982
2209,22.834,22.016
2214,22.901,21.948
2219,22.901,21.948
2224,22.901,22.016
2229,22.901,21.948
2234,22.868,21.982
2239,22.868,22.016
2244,22.901,21.982
2249,22.901,21.982
2254,22.868,22.049
2259,22.834,21.982
2264,22.901,22.016
2269,22.868,21.982
2274,22.868,22.016
2279,22.868,22.049
2284,22.868,22.016
2290,22.868,22.016
2295,22.868,21.982
2300,22.868,21.982
2305,22.868,22.016
2310,22.868,22.016
2315,22.868,21.982
2320,22.901,22.016
2325,22.901,22.016
2330,22.868,22.049
2335,22.901,22.016
2340,22.868,21.982
2345,22.901,22.049
2350,22.868,22.016
2355,22.868,22.016
2360,22.868,22.049
2365,22.834,22.049
2370,22.868,22.016
2375,22.834,22.049
2381,22.868,22.049
2386,22.868,22.049
2391,22.868,22.016
2396,22.868,22.049
2401,22.868,22.049
2406,22.868,22.083
2411,22.834,22.049
2416,22.868,22.049
2421,22.834,22.016
2426,22.834,22.049
2431,22.868,22.083
2436,22.8,22.049
2441,22.834,22.049
2446,22.834,22.049
2451,22.834,22.049
2456,22.834,22.049
2461,22.834,22.016
2466,22.834,22.016
2472,22.834,22.016
2477,22.834,22.083
2482,22.834,22.049
2487,22.834,22.083
2492,22.834,22.016
2497,22.834,22.049
2502,22.868,22.049
2507,22.8,22.049
2512,22.8,22.049
2517,22.834,22.083
2522,22.834,22.049
2527,22.834,22.049
2532,22.8,22.049
2537,22.834,22.083
2542,22.868,22.117
2547,22.8,22.117
2552,22.834,22.083
2557,22.8,22.083
2562,22.8,22.083
2568,22.8,22.151
2573,22.834,22.049
2578,22.8,22.117
2583,22.8,22.083
2588,22.8,22.049
2593,22.834,22.083
2598,22.8,22.083
2603,22.834,22.083
2608,22.868,22.049
2613,22.8,22.083
2618,22.834,22.117
2623,22.834,22.049
2628,22.767,22.117
2633,22.834,22.117
2638,22.8,22.117
2643,22.834,22.151
2648,22.834,22.117
2654,22.8,22.117
2659,22.8,22.117
2664,22.8,22.083
2669,22.8,22.049
2674,22.8,22.083
2679,22.8,22.083
2684,22.8,22.151
2689,22.834,22.117
2694,22.8,22.117
2699,22.8,22.117
2704,22.8,22.117
2709,22.767,22.151
2714,22.834,22.151
2719,22.8,22.117
2724,22.767,22.117
2729,22.8,22.083
2734,22.8,22.117
2739,22.8,22.117
2744,22.8,22.151
2750,22.767,22.151
2755,22.767,22.117
2760,22.8,22.151
2765,22.8,22.151
2770,22.767,22.151
2775,22.8,22.117
2780,22.767,22.151
2785,22.767,22.117
2790,22.767,22.117
2795,22.733,22.117
2800,22.767,22.151
2805,22.767,22.117
2810,22.8,22.117
2815,22.767,22.151
2820,22.767,22.117
2825,22.8,22.117
2830,22.767,22.151
2835,22.767,22.117
2841,22.8,22.151
2846,22.767,22.151
2851,22.767,22.151
2856,22.733,22.117
2861,22.767,22.117
2866,22.767,22.117
2871,22.733,22.185
2876,22.767,22.185
2881,22.767,22.151
2886,22.767,22.151
2891,22.767,22.219
2896,22.767,22.185
2901,22.767,22.117
2906,22.733,22.151
2911,22.767,22.151
2916,22.733,22.185
2921,22.767,22.185
2926,22.767,22.151
2931,22.767,22.117
2937,22.733,22.185
2942,22.767,22.117
2947,22.767,22.151
2952,22.767,22.185
2957,22.767,22.185
2962,22.767,22.219
