Time (s),PT0a (ohms-Hex),PT0b (ohms-Hex),PT1w (ohms-Hex),PT1s (ohms-Hex),PT2w (ohms-Hex),PT2s (ohms-Hex),PT3w (ohms-Hex),PT3s (ohms-Hex),PT4w (ohms-Hex),PT4s-REF (ohms-Hex)
0,8312,8317,8312,8322,8312,8309,8325,8298,8319.0,8304.0
5,8311,8317,8312,8322,8312,8310,8324,8299,8320.0,8305.0
10,8311,8317,8313,8323,8312,8309,8325,8298,8319.0,8304.0
15,8311,8318,8312,8322,8312,8309,8325,8299,8319.0,8304.0
20,8311,8317,8312,8322,8313,8309,8326,8298,8320.0,8304.0
25,8311,8318,8313,8323,8313,8309,8325,8298,8319.0,8303.0
30,8311,8318,8312,8323,8313,8309,8325,8298,8319.0,8303.0
35,8311,8318,8312,8323,8312,8309,8325,8298,8320.0,8304.0
40,8311,8317,8313,8323,8312,8309,8326,8298,8319.0,8304.0
45,8311,8318,8314,8323,8312,8309,8326,8299,8320.0,8304.0
50,8312,8318,8312,8323,8312,8308,8326,8299,8320.0,8303.0
55,8311,8317,8312,8323,8312,8310,8326,8298,8319.0,8303.0
60,8312,8318,8313,8324,8312,8310,8326,8299,8319.0,8304.0
65,8311,8318,8313,8323,8313,8309,8326,8299,8319.0,8303.0
70,8312,8318,8313,8323,8313,8310,8325,8299,8319.0,8303.0
75,8312,8318,8313,8322,8313,8309,8326,8299,8320.0,8303.0
80,8312,8317,8313,8323,8313,8310,8326,8298,8320.0,8303.0
85,8312,8318,8313,8323,8313,8310,8325,8298,8319.0,8304.0
90,8311,8318,8312,8323,8313,8310,8325,8298,8319.0,8303.0
95,8312,8319,8313,8323,8312,8311,8325,8299,8319.0,8304.0
100,8311,8318,8313,8323,8313,8309,8326,8299,8320.0,8303.0
105,8312,8318,8314,8323,8312,8310,8326,8299,8320.0,8304.0
110,8311,8318,8313,8323,8312,8309,8326,8299,8320.0,8303.0
115,8312,8318,8313,8323,8313,8310,8326,8299,8320.0,8305.0
120,8312,8319,8313,8323,8312,8310,8326,8299,8319.0,8304.0
125,8311,8318,8313,8323,8312,8310,8326,8299,8320.0,8303.0
130,8311,8317,8314,8324,8313,8309,8325,8298,8320.0,8304.0
135,8311,8318,8312,8324,8312,8309,8325,8299,8320.0,8304.0
140,8312,8317,8313,8323,8312,8309,8326,8300,8320.0,8304.0
145,8312,8318,8313,8323,8313,8309,8326,8299,8319.0,8303.0
150,8312,8318,8313,8323,8313,8310,8325,8298,8319.0,8304.0
155,8312,8318,8313,8322,8313,8309,8326,8299,8319.0,8303.0
160,8312,8318,8312,8324,8312,8310,8326,8298,8319.0,8303.0
165,8312,8319,8313,8323,8312,8310,8325,8300,8320.0,8304.0
170,8311,8318,8313,8323,8312,8310,8325,8299,8319.0,8305.0
175,8312,8318,8313,8323,8313,8309,8326,8299,8320.0,8303.0
180,8312,8318,8313,8324,8313,8311,8326,8299,8320.0,8304.0
185,8313,8319,8312,8323,8312,8310,8325,8299,8320.0,8304.0
190,8311,8318,8313,8323,8312,8310,8326,8299,8320.0,8304.0
195,8312,8317,8313,8324,8312,8310,8326,8299,8319.0,8304.0
200,8312,8319,8313,8323,8313,8309,8326,8299,8318.0,8304.0
205,8312,8318,8314,8323,8313,8311,8326,8299,8319.0,8304.0
210,8312,8317,8314,8324,8312,8309,8326,8299,8319.0,8303.0
215,8312,8318,8313,8323,8313,8310,8326,8299,8319.0,8304.0
220,8312,8317,8312,8323,8313,8310,8326,8299,8320.0,8304.0
225,8312,8318,8313,8322,8313,8310,8326,8299,8319.0,8303.0
230,8311,8318,8313,8323,8312,8309,8327,8298,8319.0,8303.0
235,8312,8318,8313,8323,8312,8310,8326,8300,8320.0,8304.0
240,8312,8318,8313,8323,8312,8310,8326,8299,,
245,8312,8318,8314,8323,8312,8310,8325,8299,,
250,8312,8319,8312,8323,8312,8310,8326,8298,,
255,8311,8318,8312,8324,8313,8310,8326,8299,,
260,8312,8318,8313,8323,8313,8310,8326,8299,,
265,8312,8318,8313,8322,8312,8309,8326,8299,,
