Time (s),PT0a (ohms-Hex),PT0b (ohms-Hex),PT1w (ohms-Hex),PT1s (ohms-Hex),PT2w (ohms-Hex),PT2s (ohms-Hex),PT3w (ohms-Hex),PT3s (ohms-Hex),PT4w (ohms-Hex),PT4s-REF (ohms-Hex)
0,8575,8582,8576,8586,8576,8574,8591,8562,8582.0,8568.0
5,8575,8581,8576,8587,8576,8573,8589,8561,8583.0,8567.0
10,8575,8581,8575,8587,8575,8574,8589,8562,8583.0,8567.0
15,8575,8582,8577,8587,8576,8574,8590,8563,8583.0,8567.0
20,8575,8582,8575,8587,8576,8574,8590,8562,8583.0,8568.0
25,8575,8582,8577,8587,8576,8573,8591,8562,8583.0,8568.0
30,8575,8581,8576,8587,8576,8574,8589,8562,8583.0,8568.0
35,8575,8582,8577,8587,8576,8573,8589,8562,8583.0,8568.0
40,8575,8581,8577,8587,8577,8574,8590,8562,8583.0,8567.0
45,8575,8583,8578,8587,8576,8574,8591,8562,8583.0,8568.0
50,8576,8582,8576,8587,8578,8572,8590,8562,8584.0,8567.0
55,8575,8581,8577,8587,8576,8573,8590,8562,8583.0,8568.0
60,8575,8582,8577,8587,8576,8574,8590,8562,8584.0,8567.0
65,8575,8582,8575,8587,8576,8574,8590,8561,8584.0,8567.0
70,8575,8582,8576,8587,8576,8575,8591,8561,8583.0,8568.0
75,8574,8582,8577,8588,8576,8574,8590,8561,8584.0,8567.0
80,8576,8582,8577,8587,8576,8574,8590,8562,8584.0,8567.0
85,8576,8582,8577,8588,8577,8574,8590,8562,8583.0,8568.0
90,8575,8582,8577,8588,8576,8573,8590,8563,8583.0,8567.0
95,8575,8583,8577,8587,8577,8575,8591,8562,8583.0,8567.0
100,8575,8582,8576,8587,8576,8573,8590,8562,8583.0,8567.0
105,8576,8582,8577,8587,8576,8574,8591,8562,8584.0,8568.0
110,8575,8582,8576,8587,8577,8574,8590,8562,8583.0,8567.0
115,8576,8583,8576,8587,8577,8574,8590,8563,8584.0,8568.0
120,8575,8582,8578,8588,8576,8574,8589,8562,8583.0,8567.0
125,8576,8582,8577,8588,8577,8573,8591,8563,8583.0,8567.0
130,8575,8583,8577,8587,8577,8573,8590,8562,8584.0,8568.0
135,8576,8582,8578,8587,8576,8575,8591,8563,8583.0,8568.0
140,8576,8582,8577,8587,8577,8574,8591,8562,8584.0,8568.0
145,8576,8581,8577,8588,8577,8573,8591,8562,8584.0,8568.0
150,8576,8582,8577,8587,8576,8575,8590,8563,8583.0,8567.0
155,8576,8582,8577,8587,8576,8573,8591,8562,8583.0,8567.0
160,8576,8582,8577,8587,8576,8574,8590,8562,8583.0,8568.0
165,8576,8581,8578,8587,8577,8576,8590,8562,8583.0,8568.0
170,8576,8581,8577,8587,8577,8574,8590,8562,8583.0,8568.0
175,8577,8581,8578,8588,8576,8573,8592,8562,8583.0,8567.0
180,8575,8582,8576,8588,8576,8575,8591,8563,8583.0,8568.0
185,8576,8582,8578,8588,8577,8574,8590,8562,8582.0,8567.0
190,8576,8582,8577,8588,8577,8575,8590,8563,8584.0,8568.0
195,8575,8583,8578,8586,8577,8574,8591,8563,,
200,8575,8582,8576,8587,8576,8575,8590,8562,,
205,8576,8582,8577,8587,8576,8574,8590,8563,,
210,8576,8582,8578,8588,8576,8575,8591,8563,,
215,8576,8582,8576,8588,8576,8575,8590,8562,,
220,8576,8582,8577,8587,8577,8574,8591,8563,,
