Time (s),PT4w_cal (deg.C),PT4s_cal (deg.C)
1547,24.288,22.082
1552,24.254,22.15
1557,24.288,22.116
1562,24.254,22.116
1567,24.288,22.082
1572,24.288,22.116
1577,24.288,22.116
1582,24.322,22.15
1587,24.322,22.15
1592,24.322,22.082
1597,24.288,22.116
1602,24.288,22.116
1607,24.288,22.116
1612,24.322,22.116
1617,24.322,22.116
1623,24.288,22.049
1628,24.322,22.116
1633,24.322,22.15
1638,24.322,22.116
1643,24.322,22.116
1648,24.288,22.116
1653,24.288,22.15
1658,24.356,22.049
1663,24.322,22.116
1668,24.356,22.15
1673,24.356,22.082
1678,24.356,22.15
1683,24.39,22.116
1688,24.356,22.15
1693,24.322,22.15
1698,24.39,22.15
1703,24.356,22.15
1708,24.39,22.184
1714,24.356,22.116
1719,24.39,22.15
1724,24.39,22.15
1729,24.39,22.15
1734,24.39,22.082
1739,24.39,22.116
1744,24.39,22.116
1749,24.423,22.15
1754,24.39,22.15
1759,24.457,22.116
1764,24.457,22.15
1769,24.423,22.15
1774,24.423,22.116
1779,24.423,22.116
1784,24.457,22.116
1789,24.423,22.15
1794,24.457,22.15
1800,24.39,22.15
1805,24.457,22.116
1810,24.423,22.116
1815,24.457,22.116
1820,24.457,22.116
1825,24.457,22.15
1830,24.457,22.15
1835,24.457,22.15
1840,24.457,22.116
1845,24.457,22.116
1850,24.457,22.116
1855,24.491,22.15
1860,24.457,22.15
1865,24.457,22.116
1870,24.491,22.15
1875,24.491,22.15
1880,24.491,22.15
1885,24.491,22.15
1891,24.457,22.15
1896,24.491,22.15
1901,24.491,22.184
1906,24.491,22.218
1911,24.491,22.15
1916,24.491,22.15
1921,24.491,22.184
1926,24.525,22.15
1931,24.525,22.15
1936,24.525,22.184
1941,24.525,22.184
1946,24.525,22.15
1951,24.525,22.184
1956,24.558,22.15
1961,24.491,22.184
1966,24.525,22.116
1971,24.491,22.184
1976,24.558,22.184
1982,24.558,22.184
1987,24.525,22.184
1992,24.525,22.184
1997,24.525,22.15
2002,24.558,22.15
2007,24.558,22.184
2012,24.558,22.184
2017,24.558,22.184
2022,24.558,22.184
2027,24.558,22.184
2032,24.525,22.15
2037,24.558,22.184
2042,24.558,22.184
2047,24.558,22.184
2052,24.592,22.218
2057,24.558,22.184
2062,24.558,22.184
2067,24.626,22.184
2073,24.592,22.184
2078,24.592,22.184
2083,24.558,22.184
2088,24.592,22.184
2093,24.592,22.15
2098,24.592,22.15
2103,24.558,22.218
2108,24.592,22.184
2113,24.592,22.184
2118,24.592,22.15
2123,24.592,22.218
2128,24.592,22.184
2133,24.592,22.218
2138,24.592,22.184
2143,24.592,22.15
2148,24.626,22.15
2153,24.592,22.184
2158,24.626,22.184
2164,24.626,22.184
2169,24.626,22.218
2174,24.626,22.15
2179,24.626,22.184
2184,24.626,22.184
2189,24.592,22.218
2194,24.626,22.218
2199,24.626,22.184
2204,24.626,22.218
2209,24.626,22.184
2214,24.626,22.218
2219,24.626,22.218
2224,24.626,22.218
2229,24.626,22.218
2234,24.66,22.218
2239,24.66,22.218
2244,24.626,22.184
2249,24.626,22.184
2255,24.66,22.218
2260,24.66,22.218
2265,24.66,22.184
2270,24.626,22.184
2275,24.626,22.251
2280,24.694,22.184
2285,24.626,22.184
2290,24.66,22.218
2295,24.694,22.184
2300,24.626,22.184
2305,24.66,22.184
2310,24.694,22.218
2315,24.66,22.218
2320,24.66,22.184
2325,24.66,22.251
2330,24.694,22.218
2335,24.66,22.251
2341,24.694,22.218
2346,24.694,22.218
2351,24.66,22.184
2356,24.66,22.251
2361,24.694,22.218
2366,24.694,22.251
2371,24.694,22.251
2376,24.694,22.218
2381,24.66,22.218
2386,24.727,22.218
2391,24.694,22.218
2396,24.694,22.251
2401,24.694,22.251
2406,24.694,22.218
2411,24.727,22.251
2416,24.727,22.251
2422,24.694,22.251
2427,24.727,22.285
2432,24.66,22.218
2437,24.727,22.251
2442,24.694,22.251
2447,24.694,22.218
2452,24.694,22.251
2457,24.694,22.251
2462,24.694,22.218
2467,24.694,22.285
2472,24.727,22.251
2477,24.727,22.251
2482,24.761,22.251
2487,24.761,22.251
2492,24.694,22.285
2497,24.727,22.251
2502,24.761,22.251
2507,24.727,22.285
2513,24.761,22.285
2518,24.727,22.251
2523,24.761,22.251
2528,24.727,22.251
2533,24.761,22.285
2538,24.761,22.251
2543,24.761,22.251
2548,24.727,22.251
2553,24.761,22.285
2558,24.761,22.285
2563,24.761,22.251
2568,24.761,22.285
2573,24.727,22.285
2578,24.761,22.251
2583,24.727,22.251
2588,24.795,22.319
2593,24.727,22.251
2598,24.727,22.285
2604,24.761,22.285
2609,24.795,22.285
2614,24.761,22.285
2619,24.795,22.285
2624,24.761,22.285
2629,24.761,22.319
2634,24.795,22.319
2639,24.795,22.218
2644,24.761,22.319
2649,24.795,22.285
2654,24.727,22.251
2659,24.795,22.319
2664,24.795,22.353
2669,24.795,22.285
2674,24.761,22.285
2679,24.829,22.319
2684,24.761,22.319
2690,24.761,22.319
2695,24.761,22.319
2700,24.761,22.319
2705,24.761,22.285
2710,24.795,22.319
2715,24.795,22.319
2720,24.795,22.319
2725,24.761,22.285
2730,24.761,22.285
2735,24.795,22.319
2740,24.795,22.319
2745,24.795,22.353
2750,24.795,22.353
2755,24.795,22.319
2760,24.795,22.319
2765,24.795,22.319
2770,24.795,22.319
2775,24.795,22.319
2781,24.829,22.285
2786,24.795,22.319
2791,24.795,22.319
2796,24.795,22.353
2801,24.829,22.319
2806,24.829,22.285
2811,24.829,22.319
2816,24.795,22.353
2821,24.829,22.353
2826,24.795,22.319
2831,24.795,22.319
2836,24.829,22.353
2841,24.795,22.319
2846,24.795,22.319
2851,24.829,22.319
2856,24.829,22.319
2861,24.829,22.319
2866,24.829,22.353
2872,24.829,22.319
2877,24.829,22.353
2882,24.829,22.387
2887,24.829,22.387
2892,24.863,22.387
2897,24.863,22.353
2902,24.829,22.353
2907,24.829,22.353
2912,24.863,22.42
2917,24.863,22.319
2922,24.829,22.319
2927,24.829,22.319
2932,24.863,22.353
2937,24.829,22.353
2942,24.863,22.353
2947,24.896,22.319
2952,24.829,22.353
2957,24.829,22.353
2963,24.863,22.42
2968,24.829,22.353
2973,24.863,22.387
2978,24.863,22.353
2983,24.896,22.353
2988,24.829,22.353
2993,24.863,22.387
2998,24.863,22.353
3003,24.896,22.387
3008,24.863,22.353
3013,24.863,22.387
3018,24.863,22.387
3023,24.863,22.353
3028,24.863,22.353
3033,24.896,22.387
3038,24.863,22.387
3043,24.863,22.387
3048,24.896,22.387
