Time (s),PT3w_cal (deg.C),PT3s_cal (deg.C)
0,22.16,22.185
5,22.227,22.185
10,22.194,22.185
15,22.194,22.185
20,22.194,22.219
25,22.194,22.185
30,22.194,22.219
35,22.16,22.185
40,22.194,22.185
45,22.194,22.151
50,22.227,22.219
55,22.194,22.185
60,22.194,22.185
65,22.194,22.185
70,22.194,22.185
75,22.194,22.185
80,22.194,22.151
85,22.194,22.185
91,22.227,22.185
96,22.227,22.151
101,22.194,22.185
106,22.194,22.151
111,22.194,22.219
116,22.16,22.185
121,22.194,22.219
126,22.16,22.185
131,22.194,22.151
136,22.194,22.219
141,22.194,22.219
146,22.194,22.185
151,22.194,22.151
156,22.227,22.185
161,22.194,22.185
166,22.194,22.185
171,22.194,22.185
176,22.227,22.252
182,22.227,22.185
187,22.261,22.185
192,22.261,22.219
197,22.261,22.185
202,22.227,22.185
207,22.261,22.219
212,22.295,22.219
217,22.295,22.219
222,22.295,22.185
227,22.329,22.185
232,22.329,22.185
237,22.329,22.151
242,22.329,22.185
247,22.362,22.185
252,22.362,22.151
257,22.396,22.185
262,22.396,22.185
267,22.396,22.185
273,22.43,22.185
278,22.43,22.185
283,22.43,22.219
288,22.463,22.185
293,22.463,22.185
298,22.531,22.219
303,22.497,22.219
308,22.531,22.185
313,22.531,22.185
318,22.531,22.185
323,22.564,22.151
328,22.564,22.219
333,22.564,22.185
338,22.564,22.185
343,22.598,22.219
348,22.598,22.219
353,22.632,22.219
358,22.666,22.185
363,22.666,22.185
369,22.632,22.219
374,22.666,22.185
379,22.666,22.219
384,22.699,22.185
389,22.699,22.185
394,22.699,22.185
399,22.733,22.185
404,22.733,22.219
409,22.733,22.185
414,22.767,22.185
419,22.767,22.185
424,22.767,22.185
429,22.767,22.151
434,22.834,22.185
439,22.8,22.185
444,22.8,22.185
449,22.834,22.185
454,22.834,22.185
460,22.834,22.185
465,22.834,22.185
470,22.834,22.185
475,22.834,22.185
480,22.901,22.219
485,22.901,22.185
490,22.901,22.219
495,22.935,22.185
500,22.901,22.219
505,22.935,22.219
510,22.935,22.185
515,22.935,22.185
520,22.969,22.185
525,22.969,22.185
530,22.969,22.185
535,22.969,22.185
540,23.002,22.185
545,22.969,22.185
550,23.002,22.185
556,22.969,22.185
561,23.036,22.185
566,23.002,22.219
571,23.036,22.185
576,23.07,22.185
581,23.036,22.219
586,23.07,22.219
591,23.104,22.185
596,23.104,22.185
601,23.07,22.151
606,23.07,22.185
611,23.137,22.185
616,23.137,22.151
621,23.137,22.219
626,23.104,22.185
631,23.137,22.219
636,23.137,22.185
641,23.171,22.185
647,23.171,22.185
652,23.171,22.185
657,23.171,22.185
662,23.205,22.151
667,23.205,22.185
672,23.205,22.185
677,23.205,22.219
682,23.238,22.219
687,23.238,22.185
692,23.205,22.185
697,23.272,22.185
702,23.272,22.151
707,23.272,22.185
712,23.272,22.185
717,23.272,22.185
722,23.272,22.185
727,23.272,22.185
732,23.306,22.185
738,23.306,22.185
743,23.306,22.185
748,23.306,22.219
753,23.339,22.219
758,23.306,22.185
763,23.339,22.219
768,23.339,22.219
773,23.373,22.185
778,23.373,22.185
783,23.373,22.219
788,23.339,22.185
793,23.373,22.185
798,23.407,22.185
803,23.407,22.219
808,23.407,22.219
813,23.407,22.185
818,23.441,22.185
823,23.407,22.185
828,23.441,22.151
834,23.407,22.219
839,23.441,22.185
844,23.441,22.185
849,23.474,22.219
854,23.441,22.185
859,23.474,22.219
864,23.474,22.219
869,23.508,22.219
874,23.474,22.219
879,23.508,22.185
884,23.474,22.219
889,23.508,22.185
894,23.508,22.219
899,23.508,22.252
904,23.575,22.219
909,23.542,22.219
914,23.542,22.219
919,23.542,22.252
925,23.542,22.219
930,23.542,22.219
935,23.575,22.219
940,23.542,22.185
945,23.575,22.252
950,23.575,22.219
955,23.575,22.185
960,23.575,22.219
965,23.609,22.219
970,23.609,22.219
975,23.575,22.185
980,23.609,22.252
985,23.609,22.219
990,23.609,22.252
995,23.643,22.219
1000,23.609,22.219
1005,23.643,22.219
1010,23.643,22.252
1015,23.677,22.252
1021,23.677,22.219
1026,23.643,22.252
1031,23.677,22.219
1036,23.677,22.219
1041,23.677,22.252
1046,23.71,22.219
1051,23.71,22.219
1056,23.677,22.219
1061,23.71,22.252
1066,23.71,22.252
1071,23.71,22.252
1076,23.71,22.252
1081,23.744,22.252
1086,23.778,22.219
1091,23.744,22.252
1096,23.744,22.219
1101,23.71,22.252
1106,23.744,22.219
1112,23.744,22.252
1117,23.744,22.219
1122,23.744,22.252
1127,23.778,22.219
1132,23.744,22.252
1137,23.811,22.286
1142,23.778,22.219
1147,23.778,22.286
1152,23.778,22.252
1157,23.778,22.252
1162,23.811,22.286
1167,23.778,22.252
1172,23.778,22.252
1177,23.811,22.252
1182,23.811,22.252
1187,23.811,22.252
1192,23.811,22.286
1197,23.845,22.252
1203,23.811,22.252
1208,23.845,22.252
1213,23.845,22.252
