Time (s),PT0a (ohms-Hex),PT0b (ohms-Hex),PT1w (ohms-Hex),PT1s (ohms-Hex),PT2w (ohms-Hex),PT2s (ohms-Hex),PT3w (ohms-Hex),PT3s (ohms-Hex),PT4w (ohms-Hex),PT4s-REF (ohms-Hex)
0,8401,8406,8402,8412,8401,8399,8414,8387,8409.0,8393.0
5,8401,8406,8402,8412,8402,8399,8414,8388,8408.0,8392.0
10,8400,8407,8401,8412,8402,8397,8415,8388,8408.0,8392.0
15,8399,8408,8401,8412,8400,8398,8414,8387,8408.0,8393.0
20,8400,8406,8402,8412,8401,8398,8415,8388,8409.0,8393.0
25,8400,8406,8401,8412,8402,8399,8415,8387,8408.0,8393.0
30,8401,8407,8402,8411,8400,8399,8414,8388,8408.0,8393.0
35,8401,8406,8402,8412,8402,8399,8414,8388,8408.0,8393.0
40,8401,8407,8401,8412,8402,8398,8415,8387,8409.0,8394.0
45,8400,8408,8401,8412,8401,8398,8415,8387,8408.0,8393.0
50,8401,8407,8402,8412,8402,8399,8414,8387,8409.0,8392.0
55,8400,8408,8402,8412,8402,8399,8414,8387,8409.0,8393.0
60,8400,8407,8401,8412,8401,8399,8414,8387,8409.0,8393.0
65,8401,8407,8401,8413,8401,8399,8415,8387,8409.0,8392.0
70,8401,8406,8401,8413,8401,8398,8415,8388,8408.0,8392.0
75,8401,8407,8401,8412,8402,8399,8415,8388,8409.0,8393.0
80,8401,8406,8401,8412,8402,8399,8415,8387,8409.0,8393.0
85,8401,8407,8402,8412,8402,8399,8414,8387,8409.0,8393.0
90,8401,8407,8402,8413,8401,8398,8415,8388,8408.0,8393.0
95,8401,8407,8402,8412,8401,8398,8414,8388,8410.0,8393.0
100,8401,8406,8402,8413,8402,8399,8414,8388,8408.0,8392.0
105,8401,8407,8402,8412,8402,8398,8414,8387,8409.0,8393.0
110,8401,8407,8402,8411,8402,8399,8415,8387,8409.0,8393.0
115,8401,8406,8402,8412,8401,8398,8415,8387,8409.0,8393.0
120,8400,8407,8402,8412,8402,8400,8415,8388,8408.0,8393.0
125,8401,8407,8402,8412,8402,8399,8415,8387,8408.0,8393.0
130,8400,8407,8402,8413,8402,8398,8415,8387,8409.0,8392.0
135,8402,8408,8402,8412,8401,8397,8414,8388,8408.0,8392.0
140,8401,8406,8402,8412,8401,8398,8415,8387,8409.0,8393.0
145,8401,8407,8401,8412,8402,8398,8415,8388,8409.0,8393.0
150,8401,8407,8402,8412,8402,8398,8415,8388,8409.0,8393.0
155,8401,8408,8402,8411,8403,8399,8414,8388,8408.0,8393.0
160,8401,8407,8402,8412,8402,8400,8415,8387,8408.0,8392.0
165,8401,8407,8402,8412,8402,8399,8415,8387,8409.0,8393.0
170,8401,8408,8402,8412,8401,8399,8415,8388,8408.0,8392.0
175,8401,8408,8402,8412,8402,8399,8414,8388,8409.0,8393.0
180,8401,8407,8402,8413,8402,8400,8415,8388,8409.0,8394.0
185,8401,8406,8403,8412,8402,8399,8414,8388,8409.0,8392.0
190,8401,8407,8402,8412,8401,8399,8415,8388,8409.0,8392.0
195,8400,8407,8402,8412,8402,8399,8415,8388,8408.0,8392.0
200,8401,8407,8402,8412,8401,8398,8415,8388,8408.0,8392.0
205,8402,8406,8402,8412,8401,8398,8415,8388,8410.0,8393.0
210,8401,8407,8401,8412,8401,8400,8415,8388,8409.0,8393.0
215,8401,8406,8402,8412,8402,8398,8414,8388,8409.0,8393.0
220,8401,8408,8402,8412,8402,8399,8414,8388,,
225,8402,8407,8401,8412,8401,8399,8414,8387,,
230,8401,8408,8402,8413,8402,8399,8415,8388,,
235,8401,8409,8402,8413,8401,8399,8414,8387,,
240,8400,8407,8402,8413,8401,8398,8415,8387,,
245,8400,8408,8402,8412,8402,8400,8415,8387,,
250,8401,8407,8402,8412,8401,8399,8414,8388,,
