Time (s),PT4w (ohms-Hex),PT4s (ohms-Hex)
0,8262,8254
5,8264,8256
10,8265,8255
15,8265,8255
20,8265,8255
25,8264,8256
30,8264,8256
35,8264,8257
40,8265,8256
45,8265,8255
50,8265,8256
55,8266,8256
60,8265,8256
65,8266,8257
70,8266,8255
75,8266,8256
80,8267,8256
86,8268,8256
91,8269,8255
96,8269,8255
101,8269,8255
106,8270,8256
111,8270,8257
116,8271,8256
121,8272,8256
126,8272,8255
131,8273,8256
136,8274,8256
141,8273,8256
146,8275,8255
151,8276,8255
156,8276,8256
161,8276,8256
166,8278,8255
171,8277,8255
177,8278,8255
182,8279,8256
187,8279,8255
192,8280,8255
197,8280,8254
202,8280,8256
207,8281,8255
212,8282,8256
217,8283,8256
222,8284,8255
227,8284,8255
232,8284,8254
237,8285,8256
242,8287,8255
247,8286,8255
252,8287,8255
257,8288,8255
262,8288,8255
268,8289,8256
273,8289,8254
278,8291,8255
283,8291,8256
288,8292,8256
293,8293,8256
298,8294,8256
303,8294,8255
308,8295,8255
313,8295,8255
318,8297,8255
323,8296,8254
328,8297,8255
333,8299,8255
338,8299,8255
343,8299,8256
348,8300,8255
353,8300,8256
359,8302,8255
364,8302,8254
369,8303,8255
374,8304,8255
379,8304,8255
384,8304,8255
389,8305,8255
394,8306,8255
399,8306,8257
404,8308,8255
409,8309,8255
414,8308,8254
419,8309,8255
424,8309,8256
429,8310,8254
434,8310,8255
439,8311,8255
444,8312,8256
450,8313,8255
455,8313,8255
460,8315,8256
465,8315,8256
470,8315,8255
475,8315,8254
480,8316,8255
485,8318,8255
490,8318,8255
495,8319,8255
500,8320,8255
505,8320,8254
510,8320,8255
515,8321,8256
520,8322,8255
525,8322,8255
530,8323,8255
535,8323,8255
541,8323,8255
546,8324,8255
551,8324,8256
556,8325,8255
561,8326,8256
566,8328,8255
571,8328,8255
576,8328,8256
581,8328,8255
586,8330,8256
591,8329,8255
596,8330,8256
601,8331,8256
606,8331,8255
611,8332,8253
616,8332,8256
621,8333,8254
627,8333,8255
632,8332,8255
637,8333,8256
642,8333,8255
647,8331,8255
652,8330,8256
657,8331,8255
662,8330,8255
667,8330,8254
672,8329,8254
677,8329,8255
682,8328,8255
687,8328,8255
692,8328,8256
697,8327,8254
702,8328,8255
707,8328,8254
712,8328,8255
718,8328,8255
723,8327,8255
728,8327,8257
733,8327,8255
738,8327,8255
743,8327,8257
748,8327,8255
753,8327,8255
758,8327,8255
763,8326,8255
768,8326,8255
773,8326,8256
778,8326,8255
783,8326,8255
788,8327,8256
793,8326,8255
798,8325,8255
803,8326,8255
809,8325,8254
814,8325,8255
819,8326,8255
824,8326,8255
829,8324,8255
834,8325,8255
839,8325,8256
844,8325,8255
849,8325,8255
854,8324,8255
859,8325,8256
864,8325,8255
869,8324,8256
874,8325,8256
879,8325,8255
884,8323,8255
889,8324,8256
894,8323,8256
900,8324,8255
905,8324,8255
910,8323,8256
915,8324,8255
920,8323,8256
925,8323,8255
930,8323,8255
935,8323,8256
940,8323,8255
945,8323,8255
950,8322,8255
955,8322,8256
960,8323,8255
965,8323,8256
970,8322,8255
975,8322,8255
980,8323,8256
986,8323,8254
991,8322,8255
996,8323,8255
1001,8322,8255
1006,8323,8256
1011,8322,8256
1016,8321,8255
1021,8322,8254
1026,8321,8255
1031,8321,8254
1036,8322,8255
1041,8322,8254
1046,8321,8255
1051,8322,8256
1056,8321,8254
1061,8320,8255
1066,8320,8254
1071,8321,8255
1077,8321,8255
1082,8321,8255
1087,8321,8256
1092,8322,8255
1097,8321,8255
1102,8320,8255
1107,8321,8255
1112,8321,8255
1117,8320,8254
1122,8320,8255
1127,8320,8257
1132,8320,8256
1137,8320,8255
1142,8320,8255
1147,8320,8254
1152,8319,8254
1157,8319,8256
1162,8320,8257
1168,8320,8255
1173,8319,8255
1178,8320,8255
1183,8320,8254
1188,8319,8256
1193,8319,8255
1198,8319,8254
1203,8319,8256
1208,8319,8255
1213,8319,8255
1218,8319,8255
1223,8319,8255
1228,8318,8255
1233,8319,8255
1238,8318,8255
1243,8320,8255
1248,8319,8254
1254,8319,8255
1259,8318,8256
1264,8318,8256
1269,8318,8255
1274,8318,8256
1279,8318,8256
1284,8318,8256
1289,8318,8254
1294,8319,8256
1299,8318,8256
1304,8318,8255
1309,8318,8255
1314,8318,8256
1319,8317,8255
1324,8318,8256
1329,8318,8255
1334,8318,8255
1339,8318,8256
1345,8318,8254
1350,8318,8256
1355,8318,8255
1360,8317,8256
1365,8318,8255
1370,8317,8255
1375,8317,8255
1380,8317,8255
1385,8317,8255
1390,8317,8255
1395,8317,8256
1400,8317,8257
1405,8317,8255
1410,8316,8255
1415,8316,8255
1420,8317,8256
1425,8317,8255
1430,8318,8256
1436,8316,8256
1441,8316,8256
1446,8316,8255
1451,8316,8255
1456,8316,8256
1461,8316,8256
1466,8316,8256
1471,8316,8256
1476,8316,8256
1481,8315,8255
1486,8316,8256
1491,8317,8256
1496,8315,8255
1501,8316,8255
1506,8315,8256
1511,8316,8256
1516,8316,8256
1521,8317,8256
1527,8316,8257
1532,8315,8256
1537,8315,8256
1542,8315,8256
1547,8316,8255
1552,8315,8256
1557,8316,8256
1562,8315,8256
1567,8315,8255
1572,8315,8256
1577,8315,8257
1582,8315,8256
1587,8314,8256
1592,8314,8255
1597,8315,8255
1602,8314,8256
1607,8315,8256
1612,8315,8256
1618,8314,8256
1623,8315,8255
1628,8314,8255
1633,8314,8256
1638,8314,8256
1643,8315,8255
1648,8314,8255
1653,8314,8256
1658,8314,8256
1663,8314,8258
1668,8314,8256
1673,8314,8257
1678,8314,8255
1683,8315,8257
1688,8314,8257
1693,8314,8256
1698,8314,8256
1703,8315,8256
1709,8314,8256
1714,8313,8256
1719,8314,8256
1724,8314,8257
1729,8313,8256
1734,8313,8257
1739,8313,8256
1744,8313,8257
1749,8313,8257
1754,8313,8257
1759,8313,8258
1764,8313,8256
1769,8313,8257
1774,8313,8257
1779,8313,8257
1784,8313,8258
1789,8313,8257
1794,8313,8258
1800,8313,8257
1805,8313,8256
1810,8313,8257
1815,8312,8257
1820,8313,8258
1825,8312,8258
1830,8312,8257
1835,8313,8257
1840,8312,8256
1845,8312,8257
1850,8314,8258
1855,8312,8257
1860,8312,8257
1865,8312,8256
1870,8313,8258
1875,8313,8258
1880,8312,8257
1886,8313,8257
1891,8312,8258
1896,8312,8257
1901,8312,8257
1906,8312,8258
1911,8312,8258
1916,8312,8257
1921,8312,8257
1926,8313,8257
1931,8312,8258
1936,8312,8257
1941,8313,8257
1946,8312,8258
1951,8311,8257
1956,8311,8258
1961,8311,8259
1966,8311,8258
1972,8311,8257
1977,8311,8258
1982,8311,8257
1987,8312,8258
1992,8311,8259
1997,8311,8258
2002,8311,8258
2007,8310,8258
2012,8311,8259
2017,8311,8259
2022,8311,8257
2027,8311,8258
2032,8311,8258
2037,8311,8257
2042,8311,8258
2047,8311,8259
2052,8311,8258
2057,8311,8258
2063,8311,8259
2068,8311,8257
2073,8310,8258
2078,8311,8258
2083,8310,8258
2088,8310,8257
2093,8311,8258
2098,8310,8260
2103,8311,8260
2108,8310,8258
2113,8310,8258
2118,8310,8259
2123,8310,8257
2128,8310,8257
2133,8310,8257
2138,8310,8259
2143,8310,8258
2148,8311,8259
2154,8310,8257
2159,8310,8259
2164,8310,8259
2169,8310,8260
2174,8309,8259
2179,8309,8257
2184,8310,8259
2189,8311,8258
2194,8310,8259
2199,8310,8259
2204,8309,8258
2209,8309,8260
2214,8309,8258
2219,8310,8259
2224,8310,8260
2229,8310,8260
2234,8310,8259
2239,8309,8259
2245,8309,8258
2250,8309,8259
2255,8309,8259
2260,8309,8259
2265,8309,8258
2270,8309,8259
2275,8310,8259
2280,8309,8259
2285,8309,8259
2290,8309,8259
2295,8309,8259
2300,8309,8259
2305,8309,8259
2310,8308,8258
2315,8309,8261
2320,8309,8260
2325,8308,8260
2330,8308,8260
2336,8309,8259
2341,8309,8260
2346,8309,8260
2351,8308,8260
