Time (s),PT2w (ohms-Hex),PT2s (ohms-Hex)
0,8258,8254
5,8258,8255
10,8258,8255
15,8258,8254
20,8258,8255
25,8258,8255
30,8257,8255
35,8257,8255
40,8258,8254
45,8258,8256
50,8258,8255
55,8258,8254
60,8258,8255
65,8257,8254
70,8258,8255
75,8258,8254
81,8257,8254
86,8258,8255
91,8258,8255
96,8258,8256
101,8259,8254
106,8257,8254
111,8257,8254
116,8257,8254
121,8258,8255
126,8258,8255
131,8258,8254
136,8258,8255
141,8257,8255
146,8258,8255
151,8258,8255
156,8258,8254
161,8258,8255
166,8258,8255
172,8260,8254
177,8260,8254
182,8258,8253
187,8258,8256
192,8259,8255
197,8258,8254
202,8259,8254
207,8259,8254
212,8260,8254
217,8260,8255
222,8260,8254
227,8261,8254
232,8262,8255
237,8260,8255
242,8261,8254
247,8261,8254
252,8262,8255
257,8262,8255
263,8263,8254
268,8263,8254
273,8263,8255
278,8264,8254
283,8264,8254
288,8264,8254
293,8264,8255
298,8266,8254
303,8265,8256
308,8265,8254
313,8266,8254
318,8266,8255
323,8268,8255
328,8268,8255
333,8268,8255
338,8270,8255
343,8270,8255
348,8270,8255
354,8271,8255
359,8272,8254
364,8272,8255
369,8272,8254
374,8273,8255
379,8273,8255
384,8275,8255
389,8275,8254
394,8276,8254
399,8277,8256
404,8278,8256
409,8278,8256
414,8279,8254
419,8280,8255
424,8281,8255
429,8281,8254
434,8282,8255
440,8283,8254
445,8282,8255
450,8283,8256
455,8285,8256
460,8285,8256
465,8285,8256
470,8286,8256
475,8287,8256
480,8287,8256
485,8288,8256
490,8289,8257
495,8290,8255
500,8291,8256
505,8291,8257
510,8291,8256
515,8291,8257
520,8293,8255
525,8294,8256
531,8294,8256
536,8295,8256
541,8295,8257
546,8297,8256
551,8298,8256
556,8298,8256
561,8298,8256
566,8299,8257
571,8300,8256
576,8301,8257
581,8304,8256
586,8304,8257
591,8307,8257
596,8306,8257
601,8308,8258
606,8308,8258
611,8308,8258
617,8308,8257
622,8310,8257
627,8309,8258
632,8310,8258
637,8310,8258
642,8311,8259
647,8312,8258
652,8312,8257
657,8313,8258
662,8313,8259
667,8314,8259
672,8315,8258
677,8315,8258
682,8316,8259
687,8317,8259
692,8317,8259
697,8316,8259
703,8319,8260
708,8319,8259
713,8320,8259
718,8320,8259
723,8321,8259
728,8321,8260
733,8321,8260
738,8323,8260
743,8322,8260
748,8323,8260
753,8324,8261
758,8325,8259
763,8325,8262
768,8325,8260
773,8326,8260
778,8326,8260
783,8326,8260
788,8326,8261
794,8326,8262
799,8326,8261
804,8327,8262
809,8327,8260
814,8328,8261
819,8327,8262
824,8326,8261
829,8327,8262
834,8326,8262
839,8327,8262
844,8328,8262
849,8327,8262
854,8327,8263
859,8327,8262
864,8328,8262
869,8326,8263
874,8326,8263
880,8326,8262
885,8327,8264
890,8327,8262
895,8326,8263
900,8326,8263
905,8326,8264
910,8326,8264
915,8325,8264
920,8324,8264
925,8325,8264
930,8325,8264
935,8326,8264
940,8325,8265
945,8325,8264
950,8325,8266
955,8325,8264
960,8325,8266
965,8325,8265
971,8324,8265
976,8325,8266
981,8324,8265
986,8324,8265
